ticker,isin,issuer_name,asset_class,cnpj_cia,cvm_name,cvm_sector,match_method,confidence,mapping_status,source,universe_year,decision_date
SOJA3.SA,BRSOJAACNOR9,BOA SAFRA,equity,10.807.374/0001-77,BOA SAFRA SEMENTES S.A,Alimentos,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
VTRU3.SA,BRVTRUACNOR3,VITRUEDUCA,equity,20.512.706/0001-40,VITRU EDUCAÇÃO S.A.,Educação,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
TGMA3.SA,BRTGMAACNOR7,TEGMA,equity,02.351.144/0001-18,TEGMA GESTÃO LOGÍSTICA SA,Serviços Transporte e Logística,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
DASA3.SA,BRDASAACNOR1,DASA,equity,61.486.650/0001-83,DIAGNOSTICOS DA AMERICA SA,Serviços Médicos,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
LIGT3.SA,BRLIGTACNOR2,LIGHT S/A,equity,03.378.521/0001-75,LIGHT S.A. - EM RECUPERAÇÃO JUDICIAL,Emp. Adm. Part. - Energia Elétrica,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
PRNR3.SA,BRPRNRACNOR4,PRINER,equity,18.593.815/0001-97,PRINER SERVIÇOS INDUSTRIAIS S.A.,"Construção Civil, Mat. Constr. e Decoração",prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
VLID3.SA,BRVLIDACNOR5,VALID,equity,33.113.309/0001-47,VALID SOLUÇÕES S.A.,Comunicação e Informática,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
QUAL3.SA,BRQUALACNOR6,QUALICORP,equity,11.992.680/0001-93,QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.,Seguradoras e Corretoras,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
HBOR3.SA,BRHBORACNOR3,HELBOR,equity,49.263.189/0001-02,HELBOR EMPREENDIMENTOS S/A,"Construção Civil, Mat. Constr. e Decoração",prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
JSLG3.SA,BRJSLGACNOR2,JSL,equity,52.548.435/0001-79,JSL S.A.,Serviços Transporte e Logística,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
POMO3.SA,BRPOMOACNOR0,MARCOPOLO,equity,88.611.835/0001-29,MARCOPOLO SA,"Máquinas, Equipamentos, Veículos e Peças",prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
RANI3.SA,BRRANIACNOR5,IRANI,equity,92.791.243/0001-03,IRANI PAPEL E EMBALAGEM S.A.,Embalagens,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
LJQQ3.SA,BRLJQQACNOR5,QUERO-QUERO,equity,96.418.264/0218-02,LOJAS QUERO QUERO S.A.,Comércio (Atacado e Varejo),prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
BRBI11.SA,BRBRBICDAM10,BR PARTNERS,equity,10.739.356/0001-03,BRBI BR PARTNERS S.A,Emp. Adm. Part. - Bancos,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
PNVL3.SA,BRPNVLACNOR9,DIMED,equity,92.665.611/0001-77,DIMED SA DISTRIBUIDORA DE MEDICAMENTOS,Comércio (Atacado e Varejo),prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
FESA4.SA,BRFESAACNPR5,FERBASA,equity,15.141.799/0001-03,CIA FERRO LIGAS BAHIA FERBASA,Metalurgia e Siderurgia,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
ARML3.SA,BRARMLACNOR1,ARMAC,equity,00.242.184/0001-04,"ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.",Serviços Transporte e Logística,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
CAML3.SA,BRCAMLACNOR3,CAMIL,equity,64.904.295/0001-03,CAMIL ALIMENTOS S/A,Alimentos,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
POSI3.SA,BRPOSIACNOR9,POSITIVO TEC,equity,81.243.735/0001-48,POSITIVO TECNOLOGIA S.A.,Comunicação e Informática,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
USIM3.SA,BRUSIMACNOR3,USIMINAS,equity,60.894.730/0001-05,USINAS SID DE MINAS GERAIS S.A.-USIMINAS,Metalurgia e Siderurgia,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
GFSA3.SA,BRGFSAACNOR3,GAFISA,equity,01.545.826/0001-07,GAFISA SA,"Construção Civil, Mat. Constr. e Decoração",prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
OPCT3.SA,BROPCTACNOR0,OCEANPACT,equity,09.114.805/0001-30,OCEANPACT SERVIÇOS MARÍTIMOS S.A.,Petróleo e Gás,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
SCAR3.SA,BRSCARACNOR7,SAO CARLOS,equity,29.780.061/0001-09,SAO CARLOS EMPREEND E PARTICIPACOES S.A.,Emp. Adm. Part. - Sem Setor Principal,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
ALLD3.SA,BRALLDACNOR3,ALLIED,equity,20.247.322/0001-47,ALLIED TECNOLOGIA S.A.,Comércio (Atacado e Varejo),prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
SYNE3.SA,BRSYNEACNOR2,SYN PROP TEC,equity,08.801.621/0001-86,SYN PROP & TECH S.A.,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
KLBN3.SA,BRKLBNACNOR2,KLABIN S/A,equity,89.637.490/0001-45,KLABIN S.A.,Papel e Celulose,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
BLAU3.SA,BRBLAUACNOR8,BLAU,equity,58.430.828/0001-60,BLAU FARMACÊUTICA S.A.,Farmacêutico e Higiene,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
CSED3.SA,BRCSEDACNOR9,CRUZEIRO EDU,equity,62.984.091/0001-02,CRUZEIRO DO SUL EDUCACIONAL S.A.,Educação,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
AGRO3.SA,BRAGROACNOR7,BRASILAGRO,equity,07.628.528/0001-59,BRASILAGRO CIA BRAS DE PROP AGRICOLAS,"Agricultura (Açúcar, Álcool e Cana)",prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
PINE4.SA,BRPINEACNPR8,PINE,equity,62.144.175/0001-20,BANCO PINE S/A,Bancos,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
WIZC3.SA,BRWIZCACNOR5,WIZ CO,equity,42.278.473/0001-03,WIZ CO PARTICIPAÇÕES E CORRETAGEM DE SEGUROS S.A.,Seguradoras e Corretoras,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
JALL3.SA,BRJALLACNOR0,JALLESMACHAD,equity,02.635.522/0001-95,JALLES MACHADO S.A.,"Agricultura (Açúcar, Álcool e Cana)",prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
TRIS3.SA,BRTRISACNOR4,TRISUL,equity,08.811.643/0001-27,TRISUL S/A,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
BMGB4.SA,BRBMGBACNPR0,BANCO BMG,equity,61.186.680/0001-74,BANCO BMG S/A,Bancos,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
FIQE3.SA,BRFIQEACNOR5,UNIFIQUE,equity,02.255.187/0001-08,UNIFIQUE TELECOMUNICAÇÕES S.A.,Emp. Adm. Part. - Telecomunicações,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
TAEE4.SA,BRTAEEACNPR6,TAESA,equity,07.859.971/0001-30,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,Emp. Adm. Part. - Energia Elétrica,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
SHUL4.SA,BRSHULACNPR4,SCHULZ,equity,84.693.183/0001-68,SCHULZ SA,Metalurgia e Siderurgia,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
OIBR3.SA,BROIBRACNOR1,OI,equity,76.535.764/0001-43,OI S.A. - EM RECUPERAÇÃO JUDICIAL,Telecomunicações,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
MELK3.SA,BRMELKACNOR8,MELNICK,equity,12.181.987/0001-77,MELNICK DESENVOLVIMENTO IMOBILIÁRIO S.A.,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
ITSA3.SA,BRITSAACNOR0,ITAUSA,equity,61.532.644/0001-15,ITAUSA S.A.,Emp. Adm. Part. - Intermediação Financeira,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
VVEO3.SA,BRVVEOACNOR0,VIVEO,equity,12.420.164/0001-57,CM HOSPITALAR S.A,Comércio (Atacado e Varejo),prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
AZEV4.SA,BRAZEVACNPR7,AZEVEDO,equity,61.351.532/0001-68,AZEVEDO & TRAVASSOS SA,"Construção Civil, Mat. Constr. e Decoração",prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
MTRE3.SA,BRMTREACNOR6,MITRE REALTY,equity,07.882.930/0001-65,MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,"Construção Civil, Mat. Constr. e Decoração",prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
MLAS3.SA,BRMLASACNOR9,MULTILASER,equity,59.717.553/0001-02,GRUPO MULTILASER S.A.,Comunicação e Informática,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
CMIG3.SA,BRCMIGACNOR6,CEMIG,equity,17.155.730/0001-64,CIA ENERG MINAS GERAIS - CEMIG,Energia Elétrica,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
HBRE3.SA,BRHBREACNOR4,HBR REALTY,equity,14.785.152/0001-51,HBR REALTY EMPREENDIMENTOS IMOBILIÁRIOS S.A.,"Construção Civil, Mat. Constr. e Decoração",prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
PFRM3.SA,BRPFRMACNOR1,PROFARMA,equity,45.453.214/0001-51,PROFARMA DISTRIB PROD FARMACEUTICOS S.A.,Comércio (Atacado e Varejo),prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
BMEB4.SA,BRBMEBACNPR5,MERCANTIL,equity,17.184.037/0001-10,BANCO MERCANTIL BRASIL SA,Bancos,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
