date,ITUB4.SA,MGLU3.SA,PETR4.SA,VALE3.SA,TITULO_CDI
2013-08-29,6.8747,1.4838,3.76,13.9206,104.8546775216785
2013-08-30,7.0076,1.5155,3.7378,14.0926,104.88947040077375
2013-09-02,7.0837,1.5472,3.7689,14.5839,104.92427482484213
2013-09-03,7.0136,1.571,3.7333,14.6781,104.95909079771451
2013-09-04,7.0305,1.5525,3.7489,14.7395,104.993918323223
2013-09-05,7.1055,1.5815,3.9024,14.7354,105.028757405201
2013-09-06,7.2505,1.6502,3.9513,14.6904,105.0636080474832
2013-09-09,7.4536,1.703,4.0426,15.1285,105.0984702539055
2013-09-10,7.5068,1.7531,4.0804,15.497,105.13334402830516
2013-09-11,7.4705,1.7267,4.0604,15.2063,105.16822937452064
2013-09-12,7.4536,1.769,3.9714,15.1285,105.20312629639167
2013-09-13,7.5624,1.8482,4.0337,14.9442,105.23803479775935
2013-09-16,7.5165,1.9036,4.1049,14.8992,105.27295488246592
2013-09-17,7.6374,2.004,4.1227,14.9401,105.30788655435504
2013-09-18,7.8574,2.0092,4.205,14.9565,105.3428298172715
2013-09-19,7.809,1.9485,4.2628,14.8951,105.37774675164273
2013-09-20,7.589,1.9485,4.2139,14.6044,105.41263626981474
2013-09-23,7.6494,2.004,4.2539,14.7436,105.44753733955731
2013-09-24,7.6108,2.0066,4.1761,14.5143,105.48244996469506
2013-09-25,7.618,2.0092,4.1827,14.6372,105.51779818850274
2013-09-26,7.6156,1.9934,4.136,14.7395,105.55281110429763
2013-09-27,7.7897,1.9934,4.116,14.3956,105.58779763906627
2013-09-30,7.6059,1.9934,4.0848,14.109,105.62279577047171
2013-10-01,7.6797,2.0198,4.1538,14.1254,105.65780550235779
2013-10-02,7.6483,1.9881,4.1783,14.1295,105.69278774518156
2013-10-03,7.6676,1.9934,4.1249,13.937,105.72778157027611
2013-10-04,7.6918,1.9881,4.1538,14.0844,105.76328918843868
2013-10-07,7.6458,2.0198,4.1427,13.9575,105.79873152427861
2013-10-08,7.6192,2.099,4.0737,13.761,105.83418573719972
2013-10-09,7.7015,2.1756,4.0203,13.5931,105.86980634909328
2013-10-10,7.8369,2.2706,4.0381,13.6955,105.90740283472397
2013-10-11,7.7619,2.2363,4.027,13.8265,105.94485910588453
2013-10-14,7.8176,2.3525,4.0648,14.4693,105.98244410410094
2013-10-15,7.849,2.4528,4.0982,14.588,106.02004243597132
2013-10-16,7.9385,2.4898,4.0826,14.5102,106.0576541062259
2013-10-17,8.0062,2.5478,4.0515,14.6822,106.09527911959663
2013-10-18,8.2046,2.4845,3.9892,14.6913,106.13280183696286
2013-10-21,8.1296,2.4818,4.2005,14.8763,106.17045350974254
2013-10-22,8.1731,2.4818,4.1271,15.0907,106.20811853982966
2013-10-23,8.0619,2.4026,4.0782,14.7375,106.24568116511364
2013-10-24,8.0232,2.3234,4.0581,14.7375,106.2832570751713
2013-10-25,7.9821,2.3762,4.1138,14.7459,106.32084627470107
2013-10-28,8.0764,2.4818,4.4252,14.8468,106.35844876840304
2013-10-29,8.3715,2.4554,4.383,14.7754,106.39606456097897
2013-10-30,8.3425,2.3762,4.4386,14.7249,106.43369365713224
2013-10-31,8.3691,2.5082,4.5454,15.0318,106.47133606156795
2013-11-01,8.288,2.495,4.4186,15.5154,106.50899177899285
2013-11-04,8.3509,2.5637,4.4987,15.9359,106.54650637607723
2013-11-05,8.213,2.4713,4.5053,15.9064,106.584034186553
2013-11-06,8.1138,2.495,4.5409,16.1755,106.62157521507419
2013-11-07,7.9928,2.6112,4.4497,15.6541,106.65912946629643
2013-11-08,7.7822,2.6455,4.3696,15.4523,106.69669694487705
2013-11-11,7.8161,2.4871,4.4697,15.5364,106.73427765547497
2013-11-12,7.804,2.3261,4.3496,15.0487,106.77187160275076
