decision_date,ticker,status,reason
2012-01-02,PINE4.SA,accepted,
2012-01-02,PLAS3.SA,accepted,
2012-01-02,PMET6.SA,blocked,no_fre_share_count
2012-01-02,PNVL3.SA,accepted,
2012-01-02,POMO3.SA,blocked,ambiguous_ordinary_share_count
2012-01-02,POMO4.SA,blocked,ambiguous_preferred_share_count
2012-01-02,POSI3.SA,accepted,
2012-01-02,PRBC4.SA,accepted,
2012-01-02,PRVI3.SA,blocked,ambiguous_ordinary_share_count
2012-01-02,PSSA3.SA,accepted,
2012-01-02,PTBL3.SA,blocked,'DataFrame' object has no attribute 'CNPJ_CIA'
2012-01-02,PTNT4.SA,blocked,'DataFrame' object has no attribute 'CNPJ_CIA'
2012-01-02,QGEP3.SA,blocked,ambiguous_ordinary_share_count
2012-01-02,QUAL3.SA,blocked,no_fre_share_count
2012-01-02,RADL3.SA,blocked,ambiguous_ordinary_share_count
2012-01-02,RAPT4.SA,accepted,
2012-01-02,RCSL4.SA,accepted,
2012-01-02,RDCD3.SA,accepted,
2012-01-02,RDNI3.SA,accepted,
2012-01-02,RENT3.SA,accepted,
2012-01-02,RHDS3.SA,accepted,
2012-01-02,RJCP3.SA,blocked,'DataFrame' object has no attribute 'CNPJ_CIA'
2012-01-02,RNEW11.SA,blocked,unsupported_share_class:UNT     N2
2012-01-02,ROMI3.SA,accepted,
2012-01-02,RPMG3.SA,accepted,
2012-01-02,RPMG4.SA,accepted,
2012-01-02,RSID3.SA,blocked,ambiguous_ordinary_share_count
2012-01-02,RSIP4.SA,accepted,
2012-01-02,SANB11.SA,blocked,unsupported_share_class:UNT ED  N2
2012-01-02,SANB3.SA,accepted,
2012-01-02,SANB4.SA,accepted,
2012-01-02,SAPR4.SA,accepted,
2012-01-02,SBSP3.SA,accepted,
2012-01-02,SCAR3.SA,accepted,
2012-01-02,SCLO4.SA,blocked,Missing annual/current/comparative CVM value for 3.01 of SCLO4.SA
2012-01-02,SFSA4.SA,accepted,
