alert_drawdown,severe_drawdown,alert_volatility,severe_volatility,alert_equity_cap,severe_equity_cap,recovery_days,cost_bps,volatility_window,peak_window,train_cagr,train_max_drawdown,train_score,holdout_cumulative_return,holdout_cagr,holdout_annual_volatility,holdout_sharpe_excess_cdi,holdout_max_drawdown,holdout_overlay_turnover
0.08,0.18,0.4,0.6000000000000001,0.5,0.25,10,10.0,20,126,0.1671869386936109,-0.26719564074369806,0.10038802850768638,1.9979519478465928,0.16981668034635233,0.1671702238018394,0.5163540249630276,-0.2219965653147259,10.099999999999998
0.08,0.18,0.4,0.6000000000000001,0.5,0.25,20,10.0,20,126,0.15096807906791754,-0.26605579874907204,0.08445412938064953,1.9885259588329105,0.16929053227253332,0.16039543429892308,0.5284276602031441,-0.221996565314726,8.299999999999999
0.08,0.18,0.4,0.6000000000000001,0.5,0.35,5,10.0,20,126,0.160223984835012,-0.2600908449207785,0.09520127360481737,1.9664626070011213,0.16805339729247337,0.17408091373357354,0.49388567574705405,-0.25693794615646537,10.9
0.08,0.18,0.4,0.6000000000000001,0.5,0.35,10,10.0,20,126,0.16422667282605663,-0.2630106856975024,0.09847400140168103,1.9883617233320998,0.1692813522313683,0.1725320606158064,0.5029721184891323,-0.2569379461564657,9.5
0.08,0.18,0.4,0.6000000000000001,0.5,0.35,20,10.0,20,126,0.15019631116363374,-0.2623101638433869,0.08461877020278702,1.9544788975117182,0.16737813860086215,0.1661913171263329,0.5057667055046526,-0.2569379461564656,7.699999999999999
0.08,0.18,0.4,0.6000000000000001,0.55,0.2,5,10.0,20,126,0.16784085016451988,-0.2734551449992647,0.0994770639147037,2.0625616273964194,0.1733854292002619,0.17005245782500983,0.5286209027350345,-0.20828485261369845,10.799999999999997
0.08,0.18,0.4,0.6000000000000001,0.55,0.2,10,10.0,20,126,0.17297087483457374,-0.28013170744658455,0.1029379479729276,2.059268768917787,0.1732051145185054,0.16841756959428275,0.5312092206208486,-0.20828485261369845,9.299999999999997
0.08,0.18,0.4,0.6000000000000001,0.55,0.2,20,10.0,20,126,0.1560324768459176,-0.2785636945015939,0.08639155322051911,2.1061042251832283,0.1757542977674702,0.16230072294972872,0.558626647243025,-0.20828485261369845,7.699999999999998
0.08,0.18,0.4,0.6000000000000001,0.55,0.25,5,10.0,20,126,0.16678527058632953,-0.2723345275153227,0.09870163870749885,2.0508797907220324,0.1727449869087816,0.1719969874731415,0.521374697864536,-0.2258576940731204,10.399999999999999
0.08,0.18,0.4,0.6000000000000001,0.55,0.25,10,10.0,20,126,0.1715204213064505,-0.278068181752566,0.10200337586830902,2.056835306462005,0.1730717528487613,0.17043424258227982,0.5262721172184073,-0.2258576940731205,8.999999999999998
0.08,0.18,0.4,0.6000000000000001,0.55,0.25,20,10.0,20,126,0.15569554134866204,-0.27670782856299847,0.08651858420791242,2.090946920216668,0.17493293584534686,0.16447400837025403,0.5491063080559434,-0.2258576940731204,7.399999999999999
0.08,0.18,0.4,0.6000000000000001,0.55,0.35,5,10.0,20,126,0.16460992715151046,-0.2701084782720181,0.09708280758350593,2.022897859483751,0.17120232196539242,0.17707529499482771,0.5039564755364183,-0.26062628650260045,9.599999999999998
0.08,0.18,0.4,0.6000000000000001,0.55,0.35,10,10.0,20,126,0.16854914366209894,-0.273945363341877,0.10006280282662969,2.0470537632304278,0.1725347726988644,0.1756972021232961,0.5131252131603641,-0.26062628650260034,8.399999999999999
0.08,0.18,0.4,0.6000000000000001,0.55,0.35,20,10.0,20,126,0.15492056998871395,-0.27301660284939977,0.08666641927636401,2.0557306761678436,0.17301118547887118,0.17013168324316744,0.5267120599736127,-0.26062628650260067,6.799999999999997
