date,static,volatility_target,mean_variance,linear_trailing_12m,linear_above_trend,linear_drawdown,linear_market_trailing_12m,linear_short_volatility,oracle_binary,oracle_continuous
2023-09-30,0.55,0.5458528427860645,0.017466399763588773,0.55,0.55,0.55,0.55,0.525256999511489,0.95,0.26554102484458264
2023-10-31,0.55,0.5527866958248164,-0.01080819390441878,0.55,0.55,0.55,0.55,0.4297158179148939,0.0,0.0
2023-11-30,0.55,0.5244665750054462,-0.047682402732990514,0.55,0.55,0.55,0.55,0.49253159413684333,0.95,0.95
2023-12-31,0.55,0.544151180314538,0.010156151911913809,0.55,0.55,0.55,0.55,0.5723356323394813,0.95,0.95
2024-01-31,0.55,0.5575682848387973,0.03283456906039083,0.55,0.55,0.55,0.55,0.5812768637466558,0.0,0.0
2024-02-29,0.55,0.5921635496483142,0.049045746926110356,0.55,0.55,0.55,0.55,0.5068933659194206,0.95,0.0689440137207806
2024-03-31,0.55,0.6764795601052928,0.08081577605800862,0.55,0.55,0.55,0.55,0.4748631926266591,0.0,0.0
2024-04-30,0.55,0.6483744312176636,-0.004802137162783516,0.55,0.55,0.55,0.55,0.478086339196577,0.0,0.0
2024-05-31,0.55,0.6457760102978256,-0.01645209299864679,0.55,0.55,0.55,0.55,0.4868388747130953,0.0,0.0
2024-06-30,0.55,0.6968834328504705,-0.023792618425845378,0.55,0.55,0.55,0.55,0.46892788643628286,0.95,0.95
2024-07-31,0.55,0.8081403391137543,0.04967161811034332,0.55,0.55,0.55,0.55,0.5171921672700998,0.95,0.95
2024-08-31,0.55,0.7486302156433775,0.0614515543818066,0.55,0.55,0.55,0.55,0.49229627940441595,0.95,0.95
2024-09-30,0.55,0.7136919744558347,0.12067813775360206,0.55,0.55,0.55,0.55,0.43816077426466954,0.0,0.0
2024-10-31,0.55,0.7071216209096916,0.1279874562790241,0.55,0.55,0.55,0.55,0.4943012233076934,0.95,0.8838710438481359
2024-11-30,0.55,0.7855030177098937,0.1211302865463506,0.55,0.55,0.55,0.55,0.47713707708199715,0.0,0.0
2024-12-31,0.55,0.7017741131894404,0.00013196323792607226,0.55,0.55,0.55,0.55,0.5577687929782104,0.0,0.0
2025-01-31,0.55,0.6571403822109114,-0.02051676850441397,0.55,0.55,0.55,0.55,0.567795947338771,0.95,0.95
2025-02-28,0.55,0.5557155154857571,-0.010331183082033478,0.55,0.55,0.55,0.55,0.6809106835153724,0.0,0.0
2025-03-31,0.55,0.5444312997879371,0.011775082224221613,0.55,0.55,0.55,0.55,0.6492345421856378,0.95,0.95
2025-04-30,0.55,0.5121508279587773,0.07904250320989693,0.55,0.55,0.55,0.55,0.6070365467907402,0.95,0.95
2025-05-31,0.55,0.5154038397302448,0.15230710375925458,0.55,0.55,0.55,0.55,0.5900700563118035,0.95,0.8347873712480275
2025-06-30,0.55,0.5208474492668921,0.12741309627356223,0.55,0.55,0.55,0.55,0.49169068381324155,0.95,0.22620465055161923
2025-07-31,0.55,0.5227268603593863,0.08605197428675959,0.55,0.55,0.55,0.55,0.490988440027207,0.0,0.0
2025-08-31,0.55,0.5283326716760061,0.057161904029353776,0.55,0.55,0.55,0.55,0.46245952782267374,0.95,0.95
2025-09-30,0.55,0.5099134058399649,0.10430442335022891,0.55,0.55,0.55,0.55,0.5410194796379245,0.0,0.0
2025-10-31,0.55,0.5107271283353161,0.09805394391318135,0.55,0.55,0.55,0.55,0.5442466942348301,0.95,0.95
2025-11-30,0.55,0.5125745059683368,0.16056661432325245,0.55,0.55,0.55,0.55,0.5070000913311767,0.95,0.95
2025-12-31,0.55,0.5850738170992531,0.15525468919624097,0.55,0.55,0.55,0.55,0.4843609191815194,0.0,0.0
