date,decision_year,strategy,mvo,cdi,equity_sleeve,IBOVESPA,BOVA11
2017-12-01,2017,137.482556,183.886297,140.833366,142.570911,154.87532,152.712474
2017-12-04,2017,137.638686,184.653004,140.873217,143.491128,156.645593,154.597544
2017-12-05,2017,137.510732,181.954454,140.913078,142.27896,155.479699,153.435819
2017-12-06,2017,137.596069,180.831748,140.952951,142.667666,157.02708,159.967808
2017-12-07,2017,137.530169,181.229878,140.990224,141.937616,155.353251,153.435819
2017-12-08,2017,137.632597,185.421278,141.027508,142.470967,155.878332,153.698858
2017-12-11,2017,137.716501,186.546322,141.064801,142.865203,156.024068,154.400278
2017-12-12,2017,137.811579,188.573001,141.102104,143.343258,158.197261,156.504538
2017-12-13,2017,137.631142,186.263628,141.139417,141.753254,156.268392,154.26875
2017-12-14,2017,137.47607,186.337953,141.17674,140.353572,155.228946,153.435819
2017-12-15,2017,137.790301,190.500852,141.214073,142.476379,155.612576,153.326215
2017-12-18,2017,137.750674,189.034937,141.251416,141.943098,156.699173,154.904415
2017-12-19,2017,137.560774,187.39818,141.288768,140.281819,155.766886,153.808445
2017-12-20,2017,137.711129,189.334192,141.326131,141.174398,157.239256,155.408568
2017-12-21,2017,138.016849,192.89952,141.363503,143.233077,161.024125,159.003349
2017-12-22,2017,138.146908,194.76448,141.400885,143.973194,161.139858,159.354051
2017-12-25,2017,138.146908,194.76448,141.400885,143.973194,,159.354051
2017-12-26,2017,138.292931,195.278776,141.438277,144.833078,162.213595,160.559625
2017-12-27,2017,138.478597,198.556849,141.475679,145.990452,163.038722,161.436404
2017-12-28,2017,138.720581,204.295556,141.513091,147.570484,163.743831,161.80903
2017-12-29,2017,138.755281,204.306544,141.550513,147.594589,163.743831,161.80903
2018-01-03,2018,138.538862,203.798585,141.587945,146.813258,163.962462,162.239956
2018-01-04,2018,139.068141,206.825304,141.625386,148.791438,165.333108,163.748156
2018-01-05,2018,138.989073,206.089409,141.662838,148.374696,166.224448,164.696177
2018-01-08,2018,139.18468,205.931424,141.700299,149.039244,166.871931,165.385642
2018-01-09,2018,138.840538,203.983303,141.73777,147.578921,165.789289,164.092897
2018-01-10,2018,138.95416,204.215897,141.775251,147.920662,164.395518,162.886321
2018-01-11,2018,139.381257,207.155779,141.812742,149.496443,166.8425,165.170188
2018-01-12,2018,139.08113,205.733623,141.850243,148.20931,166.808864,165.191722
2018-01-15,2018,139.444099,208.399857,141.887754,149.532578,167.656058,166.053557
2018-01-16,2018,139.384912,209.337256,141.925275,149.193905,167.824235,166.032007
2018-01-17,2018,139.510079,212.47558,141.962806,149.580954,170.676945,168.940704
2018-01-18,2018,139.459688,211.397908,142.000346,149.276853,170.201843,168.272773
2018-01-19,2018,139.336835,210.064573,142.037897,148.687465,170.742113,168.962238
2018-01-22,2018,139.842167,208.563971,142.075457,150.571034,171.698622,169.867158
2018-01-23,2018,139.330908,203.586661,142.113028,148.452539,169.602711,167.863414
2018-01-24,2018,141.416339,214.307503,142.150608,156.556474,175.913569,174.154786
2018-01-25,2018,141.443231,214.307503,142.188198,156.556474,,174.154786
2018-01-26,2018,142.883186,219.584908,142.225799,162.119291,179.804773,178.076123
