decision_date,ticker,ticker_raw,asset_class,issuer_name,specification,isin,observed_at,close_price_brl,average_daily_value_brl,trading_days,trade_count,quantity,source,universe_year
2023-01-02,XPBR31.SA,XPBR31,bdr,XP INC,DR1,BRXPBRBDR001,2023-01-02,75.61,81388567.96483333,60,8171,452524,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,DISB34.SA,DISB34,bdr,WALT DISNEY,DRN,BRDISBBDR006,2023-01-02,30.6,3952487.515166667,60,543,21111,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,M1RN34.SA,M1RN34,bdr,MODERNA INC,DRN,BRM1RNBDR006,2023-01-02,48.86,3176163.740833333,60,82,3369,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,BNDA39.SA,BNDA39,bdr,MSCI INDIA,DRE,BRBNDABDR004,2023-01-02,56.33,2935438.0423214287,56,1,5,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,BEWW39.SA,BEWW39,bdr,MSCI MEXICO,DRE,BRBEWWBDR007,2023-01-02,66.55,2638025.7146938774,49,1,6,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,CHVX34.SA,CHVX34,bdr,CHEVRON,DRN,BRCHVXBDR008,2023-01-02,97.45,2633039.26,60,83,5495,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,BEGU39.SA,BEGU39,bdr,TRUSTMSCI US,DRE,BRBEGUBDR004,2023-01-02,44.65,2287366.521509434,53,1,2,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,BIVB39.SA,BIVB39,bdr,CORE SP 500,DRE,BRBIVBBDR004,2023-01-02,51.89,2256895.869,60,40,565,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,A1MD34.SA,A1MD34,bdr,ADVANCED MIC,DRN,BRA1MDBDR002,2023-01-02,44.72,2085625.0451666666,60,57,1853,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,EXXO34.SA,EXXO34,bdr,EXXON MOBIL,DRN,BREXXOBDR006,2023-01-02,72.98,1886552.2585,60,140,7226,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,BIAU39.SA,BIAU39,bdr,GOLD TRUST,DRE,BRBIAUBDR008,2023-01-02,45.62,1823999.7755,60,34,4543,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,JNJB34.SA,JNJB34,bdr,JOHNSON,DRN,BRJNJBBDR002,2023-01-02,62.85,1812037.6885,60,191,5217,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,JPMC34.SA,JPMC34,bdr,JPMORGAN,DRN,BRJPMCBDR009,2023-01-02,71.75,1742292.254,60,680,8986,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,BIEU39.SA,BIEU39,bdr,COREMSCI EUR,DRE,BRBIEUBDR000,2023-01-02,42.65,1676294.3455,60,4,10,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,PFIZ34.SA,PFIZ34,bdr,PFIZER,DRN,BRPFIZBDR006,2023-01-02,70.0,1612260.6541666666,60,139,3751,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,STOC31.SA,STOC31,bdr,STONE CO,DR1,BRSTOCBDR008,2023-01-02,47.56,1526763.3048333335,60,37,3279,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,COCA34.SA,COCA34,bdr,COCA COLA,DRN,BRCOCABDR002,2023-01-02,56.92,1521134.5931666668,60,1116,9961,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,OXYP34.SA,OXYP34,bdr,OCCIDENT PTR,DRN,BROXYPBDR000,2023-01-02,55.69,1502227.6401666666,60,115,2642,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,PYPL34.SA,PYPL34,bdr,PAYPAL HOLD,DRN,BRPYPLBDR002,2023-01-02,19.5,1432592.5098333333,60,36,3087,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,BACW39.SA,BACW39,bdr,MSCI ACWI,DRE,BRBACWBDR007,2023-01-02,45.3,1284350.3468333334,60,12,2792,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,TMOS34.SA,TMOS34,bdr,THERMFISCHER,DRN,BRTMOSBDR007,2023-01-02,63.35,1208419.4576666665,60,6,403,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,UNHH34.SA,UNHH34,bdr,UNITEDHEALTH,DRN,BRUNHHBDR000,2023-01-02,43.96,1192141.5231666667,60,19,3132,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,BIWM39.SA,BIWM39,bdr,RUSSELL 2000,DRE,BRBIWMBDR009,2023-01-02,46.2,1189472.4762745097,51,1,400,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,BCHI39.SA,BCHI39,bdr,MSCI CHINA,DRE,BRBCHIBDR001,2023-01-02,31.4,1152115.8986440678,59,7,170,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,VISA34.SA,VISA34,bdr,VISA INC,DRN,BRVISABDR000,2023-01-02,55.89,1135355.8138333333,60,133,5582,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,BEWH39.SA,BEWH39,bdr,MSCIHONGKONG,DRE,BRBEWHBDR008,2023-01-02,37.11,1004554.5615384615,39,3,3,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,B1PP34.SA,B1PP34,bdr,BP PLC,DRN,BRB1PPBDR008,2023-01-02,48.2,993216.3646666667,60,2,24,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,NIKE34.SA,NIKE34,bdr,NIKE,DRN,BRNIKEBDR006,2023-01-02,63.88,991413.9491666667,60,82,3218,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,BIEF39.SA,BIEF39,bdr,COREMSCIEAFE,DRE,BRBIEFBDR001,2023-01-02,41.64,968200.4524074075,54,2,39,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,B1NT34.SA,B1NT34,bdr,BIONTECH SE,DRN,BRB1NTBDR005,2023-01-02,50.38,940174.8451666667,60,309,1230,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,BQUA39.SA,BQUA39,bdr,MSCIUSQUAL F,DRE,BRBQUABDR001,2023-01-02,41.03,904366.4972549019,51,1,15,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,N1EM34.SA,N1EM34,bdr,NEWMONT GOLD,DRN,BRN1EMBDR005,2023-01-02,254.9,903868.1291666667,60,2,5,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,HOME34.SA,HOME34,bdr,HOME DEPOT,DRN,BRHOMEBDR002,2023-01-02,59.2,900830.6938333333,60,10,543,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,ELCI34.SA,ELCI34,bdr,ESTEE LAUDER,DRN,BRELCIBDR007,2023-01-02,55.83,898732.4453448276,58,1,6,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,RIOT34.SA,RIOT34,bdr,RIO TINTO,DRN,BRRIOTBDR007,2023-01-02,383.94,878545.1928333334,60,18,137,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,MSCD34.SA,MSCD34,bdr,MASTERCARD,DRN,BRMSCDBDR006,2023-01-02,61.0,858893.1071666667,60,47,1859,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,ADBE34.SA,ADBE34,bdr,ADOBE INC,DRN,BRADBEBDR003,2023-01-02,37.48,823640.3231666667,60,16,589,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,MCDC34.SA,MCDC34,bdr,MCDONALDS,DRN,BRMCDCBDR000,2023-01-02,70.0,818467.4323333333,60,317,3098,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,TSMC34.SA,TSMC34,bdr,TAIWANSMFAC,DRN,BRTSMCBDR002,2023-01-02,52.0,806382.0188333334,60,77,3560,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,SSFO34.SA,SSFO34,bdr,SALESFOR INC,DRN,BRSSFOBDR003,2023-01-02,35.04,778663.3441666666,60,52,3302,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,BVLU39.SA,BVLU39,bdr,MSCIUSVALUEF,DRE,BRBVLUBDR008,2023-01-02,49.09,766898.7075555555,45,1,7,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,A1LB34.SA,A1LB34,bdr,ALBEMARLE CO,DRN,BRA1LBBDR008,2023-01-02,46.75,762339.3360000001,50,3,31,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,BAAX39.SA,BAAX39,bdr,MSCI ASIA JP,DRE,BRBAAXBDR009,2023-01-02,35.01,759203.0305084746,59,7,294,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,WALM34.SA,WALM34,bdr,WAL MART,DRN,BRWALMBDR005,2023-01-02,47.77,737949.1976666667,60,59,1092,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,BDVY39.SA,BDVY39,bdr,SELECT DIVID,DRE,BRBDVYBDR007,2023-01-02,65.11,733911.5653333333,60,3,150,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,TGTB34.SA,TGTB34,bdr,TARGET CORP,DRN,BRTGTBBDR004,2023-01-02,788.08,728679.2760377359,53,2,20,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,BIJR39.SA,BIJR39,bdr,CORESMALLCAP,DRE,BRBIJRBDR005,2023-01-02,62.46,682304.9299999999,59,4,387,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,COWC34.SA,COWC34,bdr,COSTCO,DRN,BRCOWCBDR006,2023-01-02,61.8,676873.4368333333,60,17,520,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,MRCK34.SA,MRCK34,bdr,MERCK,DRN,BRMRCKBDR003,2023-01-02,75.5,675743.2476666666,60,94,1886,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,BEZU39.SA,BEZU39,bdr,MSCIEUROZONE,DRE,BRBEZUBDR004,2023-01-02,52.16,666973.2316666667,42,1,19,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,BEWC39.SA,BEWC39,bdr,MSCI CANADA,DRE,BRBEWCBDR009,2023-01-02,44.04,661238.2646296296,54,4,13,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,U1BE34.SA,U1BE34,bdr,UBER TECH IN,DRN,BRU1BEBDR009,2023-01-02,32.5,654225.4856666666,60,21,623,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,C1CL34.SA,C1CL34,bdr,CARNIVAL COR,DRN,BRC1CLBDR004,2023-01-02,42.47,647614.7132203389,59,6,79,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,S1YK34.SA,S1YK34,bdr,STRYKER CORP,DRN ED,BRS1YKBDR002,2023-01-02,64.68,647011.33,12,1,1,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,BLQD39.SA,BLQD39,bdr,BKR IBOX IGC,DRE,BRBLQDBDR004,2023-01-02,56.5,642787.4583333334,48,4,61,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,PEPB34.SA,PEPB34,bdr,PEPSICO INC,DRN,BRPEPBBDR005,2023-01-02,61.44,622418.3638333332,60,46,627,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,BEFA39.SA,BEFA39,bdr,MSCI EAFE,DRE,BRBEFABDR008,2023-01-02,43.84,583552.9373076922,52,2,67,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,BIYW39.SA,BIYW39,bdr,US TECHNOLOG,DRE,BRBIYWBDR004,2023-01-02,11.26,579594.9283636364,55,1,3,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,T1SS34.SA,T1SS34,bdr,TENARIS SA,DRN,BRT1SSBDR006,2023-01-02,93.09,573622.3855813954,43,1,8,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,COPH34.SA,COPH34,bdr,COPHILLIPS,DRN ED,BRCOPHBDR009,2023-01-02,55.99,572755.5453333333,60,87,6558,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,S2EA34.SA,S2EA34,bdr,SEA LTD,DRN,BRS2EABDR003,2023-01-02,11.6,571188.6865,60,65,10773,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,BKNG34.SA,BKNG34,bdr,BOOKING,DRN,BRBKNGBDR006,2023-01-02,61.99,563426.7670000001,60,61,943,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,LILY34.SA,LILY34,bdr,LILLY,DRN,BRLILYBDR006,2023-01-02,66.03,560301.6568333333,60,6,93,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,PGCO34.SA,PGCO34,bdr,PG,DRN,BRPGCOBDR001,2023-01-02,57.81,554632.1656666667,60,53,1553,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,BOAC34.SA,BOAC34,bdr,BANK AMERICA,DRN,BRBOACBDR004,2023-01-02,42.75,552269.9305,60,72,1305,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,BIDU34.SA,BIDU34,bdr,BAIDU INC,DRN,BRBIDUBDR002,2023-01-02,42.87,546873.6074137931,58,6,94,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,BEWU39.SA,BEWU39,bdr,MSCI UK,DRE,BRBEWUBDR001,2023-01-02,54.96,529628.6757894737,57,2,4,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,BITO39.SA,BITO39,bdr,CORE SP TOTA,DRE,BRBITOBDR001,2023-01-02,45.81,527028.3749152543,59,6,80,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,CHCM34.SA,CHCM34,bdr,CHARTER COMM,DRN,BRCHCMBDR001,2023-01-02,31.44,524750.9294736842,57,10,1638,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,MUTC34.SA,MUTC34,bdr,MICRON TECHN,DRN ED,BRMUTCBDR008,2023-01-02,47.99,524690.7125,60,38,1302,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,BSLV39.SA,BSLV39,bdr,SILVER TRUST,DRE,BRBSLVBDR002,2023-01-02,38.87,497327.52166666667,60,21,735,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,N1VO34.SA,N1VO34,bdr,NOVO NORDISK,DRN,BRN1VOBDR005,2023-01-02,89.39,496779.9056363636,55,7,497,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,BIVE39.SA,BIVE39,bdr,SP500 VALUE,DRE,BRBIVEBDR008,2023-01-02,51.94,457101.66816666664,60,6,11,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,G2DI33.SA,G2DI33,bdr,G2D INVEST,DR3,BRG2DIBDR002,2023-01-02,2.66,453734.23000000004,60,5984,118008,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,BEWA39.SA,BEWA39,bdr,MSCIAUSTRALI,DRE,BRBEWABDR003,2023-01-02,39.92,449070.75666666665,54,3,30,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,PAGS34.SA,PAGS34,bdr,PAGSEGURO,DRN,BRPAGSBDR006,2023-01-02,8.81,446572.8761666667,60,389,17934,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,WFCO34.SA,WFCO34,bdr,WELLS FARGO,DRN,BRWFCOBDR009,2023-01-02,54.73,444380.9228333334,60,34,933,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,BTLT39.SA,BTLT39,bdr,BKR 20YR TRS,DRE,BRBTLTBDR004,2023-01-02,42.0,443086.7381481481,54,2,30,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,C2OI34.SA,C2OI34,bdr,COINBASEGLOB,DRN,BRC2OIBDR003,2023-01-02,7.49,442105.53866666666,60,32,1958,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,FCXO34.SA,FCXO34,bdr,FREEPORT,DRN,BRFCXOBDR007,2023-01-02,68.5,422075.89883333334,60,48,884,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,AIRB34.SA,AIRB34,bdr,AIRBNB,DRN,BRAIRBBDR004,2023-01-02,22.57,383879.95633333334,60,38,881,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,CMCS34.SA,CMCS34,bdr,COMCAST,DRN,BRCMCSBDR008,2023-01-02,37.16,382000.8655,60,26,440,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,GOGL35.SA,GOGL35,bdr,ALPHABET,DRN C,BRGOGLBDR019,2023-01-02,39.64,381689.5478333334,60,72,3498,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,ITLC34.SA,ITLC34,bdr,INTEL,DRN,BRITLCBDR005,2023-01-02,23.31,378477.61983333336,60,82,1879,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,SCHW34.SA,SCHW34,bdr,SCHWAB,DRN,BRSCHWBDR006,2023-01-02,56.2,370213.04916666663,60,4,571,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,FSLR34.SA,FSLR34,bdr,FIRST SOLAR,DRN,BRFSLRBDR001,2023-01-02,405.84,363686.1481666667,60,3,7,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,RIGG34.SA,RIGG34,bdr,TRANSOCEAN,DRN,BRRIGGBDR000,2023-01-02,23.85,352270.00549999997,60,20,2763,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,GSGI34.SA,GSGI34,bdr,GOLDMANSACHS,DRN,BRGSGIBDR008,2023-01-02,60.11,349532.5856666667,60,26,473,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,M1NS34.SA,M1NS34,bdr,MONSTER BEVE,DRN,BRM1NSBDR004,2023-01-02,67.06,345166.8072881356,59,2,11,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,BOEI34.SA,BOEI34,bdr,BOEING,DRN,BRBOEIBDR003,2023-01-02,1015.52,339901.97709090915,55,7,29,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,T1AL34.SA,T1AL34,bdr,TAL EDUCATIO,DRN,BRT1ALBDR009,2023-01-02,3.75,333703.8855,60,82,6429,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,BIYF39.SA,BIYF39,bdr,US FINANCIAL,DRE,BRBIYFBDR009,2023-01-02,26.57,308957.0134545454,55,1,10,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,K1IM34.SA,K1IM34,bdr,KIMCO REALTY,DRN,BRK1IMBDR009,2023-01-02,114.52,302825.2095,20,1,2,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,S2HO34.SA,S2HO34,bdr,SHOPIFY INC,DRN,BRS2HOBDR007,2023-01-02,1.56,295303.3636666667,60,21,249,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,AXPB34.SA,AXPB34,bdr,AMERICAN EXP,DRN,BRAXPBBDR007,2023-01-02,78.29,288359.7303333333,60,21,541,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,BEEM39.SA,BEEM39,bdr,MSCI EMGMARK,DRE,BRBEEMBDR006,2023-01-02,34.06,282303.75905660377,53,4,64,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,GMCO34.SA,GMCO34,bdr,GENERAL MOT,DRN,BRGMCOBDR008,2023-01-02,44.42,281302.7825,60,30,596,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,VERZ34.SA,VERZ34,bdr,VERIZON,DRN,BRVERZBDR008,2023-01-02,35.09,266484.8861666667,60,53,671,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,F2NV34.SA,F2NV34,bdr,FRANCONEVADA,DRN,BRF2NVBDR005,2023-01-02,4.02,264243.11565217393,23,5,194,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,AVGO34.SA,AVGO34,bdr,BROADCOM INC,DRN,BRAVGOBDR003,2023-01-02,43.17,263013.526,60,23,308,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,Z1TS34.SA,Z1TS34,bdr,ZOETIS INC,DRN,BRZ1TSBDR006,2023-01-02,48.55,259317.6102,50,9,61,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,AALL34.SA,AALL34,bdr,AMERICAN AIR,DRN,BRAALLBDR003,2023-01-02,67.33,258874.91033898306,59,11,314,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,JDCO34.SA,JDCO34,bdr,JD COM,DRN,BRJDCOBDR001,2023-01-02,50.71,234168.98,59,2,73,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,BIEM39.SA,BIEM39,bdr,COREMSCI EMK,DRE,BRBIEMBDR007,2023-01-02,42.0,228906.8975,60,9,3019,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,DDNB34.SA,DDNB34,bdr,DUPONT N INC,DRN,BRDDNBBDR008,2023-01-02,367.76,228511.369375,16,1,1,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,T2DH34.SA,T2DH34,bdr,TELADOCHEALT,DRN,BRT2DHBDR009,2023-01-02,3.95,214080.34508474576,59,4,43,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,S1PO34.SA,S1PO34,bdr,SPOTIFY TECH,DRN,BRS1POBDR002,2023-01-02,102.0,213513.5875,60,20,214,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
2023-01-02,P1DD34.SA,P1DD34,bdr,PINDUODUO IN,DRN,BRP1DDBDR004,2023-01-02,42.73,198056.93827586208,58,5,878,B3 COTAHIST official annual file; last trading session 2023-01-02; 60-session average traded value,2023
