decision_date,ticker,ticker_raw,asset_class,issuer_name,specification,isin,observed_at,close_price_brl,average_daily_value_brl,trading_days,trade_count,quantity,source,universe_year
2016-01-04,DAGB33.SA,DAGB33,bdr,DUFRY AG,DR3,BRDAGBBDR008,2016-01-04,468.5,7771998.013166667,60,936,21595,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,HOME34.SA,HOME34,bdr,HOME DEPOT,DRN,BRHOMEBDR002,2016-01-04,264.16,691022.6,55,3,12400,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,AXPB34.SA,AXPB34,bdr,AMERICAN EXP,DRN,BRAXPBBDR007,2016-01-04,271.77,688598.5660377359,53,2,3600,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,JPMC34.SA,JPMC34,bdr,JPMORGAN,DRN ED,BRJPMCBDR009,2016-01-04,128.26,576358.3050847457,59,3,800,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,CMCS34.SA,CMCS34,bdr,COMCAST,DRN ED,BRCMCSBDR008,2016-01-04,223.65,506979.37735849054,53,1,300,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,NIKE34.SA,NIKE34,bdr,NIKE,DRN EB,BRNIKEBDR006,2016-01-04,248.64,505371.37209302327,43,3,14200,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,GEOO34.SA,GEOO34,bdr,GE,DRN,BRGEOOBDR000,2016-01-04,123.26,495053.64705882355,51,2,6100,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,JNJB34.SA,JNJB34,bdr,JOHNSON,DRN,BRJNJBBDR002,2016-01-04,404.89,469499.22222222225,54,1,500,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,WFCO34.SA,WFCO34,bdr,WELLS FARGO,DRN,BRWFCOBDR009,2016-01-04,219.2,462043.51785714284,56,1,100,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,MCDC34.SA,MCDC34,bdr,MCDONALDS,DRN,BRMCDCBDR000,2016-01-04,118.38,459190.358490566,53,1,900,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,AMGN34.SA,AMGN34,bdr,AMGEN,DRN,BRAMGNBDR004,2016-01-04,636.38,454891.8181818182,22,3,4000,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,AMZO34.SA,AMZO34,bdr,AMAZON,DRN,BRAMZOBDR002,2016-01-04,1286.74,436655.98,50,2,600,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,GSGI34.SA,GSGI34,bdr,GOLDMANSACHS,DRN,BRGSGIBDR008,2016-01-04,71.62,416448.42553191487,47,2,39800,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,PEPB34.SA,PEPB34,bdr,PEPSICO INC,DRN,BRPEPBBDR005,2016-01-04,395.71,398186.72,50,2,500,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,ITLC34.SA,ITLC34,bdr,INTEL,DRN,BRITLCBDR005,2016-01-04,136.83,393658.94545454544,55,1,3500,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,VISA34.SA,VISA34,bdr,VISA INC,DRN,BRVISABDR000,2016-01-04,306.58,393176.22222222225,54,4,9400,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,PFIZ34.SA,PFIZ34,bdr,PFIZER,DRN,BRPFIZBDR006,2016-01-04,128.86,370536.5283018868,53,2,500,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,MSCD34.SA,MSCD34,bdr,MASTERCARD,DRN,BRMSCDBDR006,2016-01-04,382.4,364441.425,40,3,7800,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,FBOK34.SA,FBOK34,bdr,FACEBOOK,DRN,BRFBOKBDR006,2016-01-04,206.22,304968.4736842105,38,1,200,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,NFLX34.SA,NFLX34,bdr,NETFLIX,DRN,BRNFLXBDR000,2016-01-04,437.39,302050.21428571426,28,1,2000,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,SBUB34.SA,SBUB34,bdr,STARBUCKS,DRN,BRSBUBBDR005,2016-01-04,234.09,299526.0408163265,49,3,1600,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,FDMO34.SA,FDMO34,bdr,FORD MOTORS,DRN,BRFDMOBDR008,2016-01-04,55.73,261433.0,31,2,500,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,SLBG34.SA,SLBG34,bdr,SCHLUMBERGER,DRN,BRSLBGBDR003,2016-01-04,278.05,255528.73913043478,23,1,900,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,BOAC34.SA,BOAC34,bdr,BANK AMERICA,DRN,BRBOACBDR004,2016-01-04,66.39,232531.23076923078,52,1,1700,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,MRCK34.SA,MRCK34,bdr,MERCK,DRN,BRMRCKBDR003,2016-01-04,211.11,230712.78260869565,46,1,400,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,EBAY34.SA,EBAY34,bdr,EBAY,DRN,BREBAYBDR009,2016-01-04,52.76,227539.78260869565,46,3,2100,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,VERZ34.SA,VERZ34,bdr,VERIZON,DRN,BRVERZBDR008,2016-01-04,185.41,224440.0465116279,43,2,800,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,COCA34.SA,COCA34,bdr,COCA COLA,DRN,BRCOCABDR002,2016-01-04,170.75,211316.2,40,1,200,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,CTGP34.SA,CTGP34,bdr,CITIGROUP,DRN,BRCTGPBDR000,2016-01-04,206.45,209475.69565217392,46,4,6100,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,XRXB34.SA,XRXB34,bdr,XEROX CORP,DRN,BRXRXBBDR005,2016-01-04,41.25,208317.0,25,1,100,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,PGCO34.SA,PGCO34,bdr,PG,DRN,BRPGCOBDR001,2016-01-04,314.85,202768.98039215687,51,1,100,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,ORCL34.SA,ORCL34,bdr,ORACLE,DRN ED,BRORCLBDR007,2016-01-04,144.03,191390.05263157896,38,1,100,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,MDLZ34.SA,MDLZ34,bdr,MONDELEZ INT,DRN ED,BRMDLZBDR002,2016-01-04,88.69,180938.27777777778,18,1,900,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,METB34.SA,METB34,bdr,METLIFE INC,DRN,BRMETBBDR004,2016-01-04,189.19,178397.17857142858,28,2,5800,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,CHVX34.SA,CHVX34,bdr,CHEVRON,DRN,BRCHVXBDR008,2016-01-04,179.37,174052.1463414634,41,1,100,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,TIFF34.SA,TIFF34,bdr,TIFFANY,DRN,BRTIFFBDR000,2016-01-04,300.48,147950.0909090909,11,1,200,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,UPAC34.SA,UPAC34,bdr,UNIONPACIFIC,DRN,BRUPACBDR001,2016-01-04,79.37,135034.08333333334,12,1,100,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,AVON34.SA,AVON34,bdr,AVON,DRN,BRAVONBDR009,2016-01-04,8.13,134613.35714285713,28,1,7500,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,COLG34.SA,COLG34,bdr,COLGATE,DRN,BRCOLGBDR000,2016-01-04,261.26,129085.82352941176,17,1,100,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,EXXO34.SA,EXXO34,bdr,EXXON MOBIL,DRN,BREXXOBDR006,2016-01-04,78.17,115668.73469387754,49,1,100,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,ABTT34.SA,ABTT34,bdr,ABBOTT,DRN,BRABTTBDR007,2016-01-04,43.2,76336.32,25,1,2500,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,LILY34.SA,LILY34,bdr,LILLY,DRN,BRLILYBDR006,2016-01-04,167.58,76142.93333333333,15,1,900,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,LATM33.SA,LATM33,bdr,LATAM AIRLN,DR3,BRLATMBDR001,2016-01-04,23.0,57794.5,22,1,100,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,HSHY34.SA,HSHY34,bdr,HERSHEY CO,DRN,BRHSHYBDR001,2016-01-04,71.16,57497.2,15,1,500,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,MOSC34.SA,MOSC34,bdr,MOSAIC CO,DRN,BRMOSCBDR003,2016-01-04,56.47,54460.666666666664,15,1,2200,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,ITUB4.SA,ITUB4,equity,ITAUUNIBANCO,PN  ED  N1,BRITUBACNPR1,2016-01-04,25.13,491249953.05,60,30835,23073800,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,PETR4.SA,PETR4,equity,PETROBRAS,PN,BRPETRACNPR6,2016-01-04,6.87,400989308.1166667,60,24012,45962100,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,BBDC4.SA,BBDC4,equity,BRADESCO,PN  ES  N1,BRBBDCACNPR8,2016-01-04,19.0,307467870.98333335,60,24028,10724300,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,VALE5.SA,VALE5,equity,VALE,PNA     N1,BRVALEACNPA3,2016-01-04,10.0,268095208.98333332,60,30398,14898600,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,ABEV3.SA,ABEV3,equity,AMBEV S/A,ON  EJ,BRABEVACNOR1,2016-01-04,17.21,233827226.43333334,60,33912,13206900,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,BRFS3.SA,BRFS3,equity,BRF SA,ON  EDJ NM,BRBRFSACNOR8,2016-01-04,54.22,198035840.1,60,16133,3986600,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,CIEL3.SA,CIEL3,equity,CIELO,ON      NM,BRCIELACNOR3,2016-01-04,32.21,169862842.6,60,18118,6054500,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,ITSA4.SA,ITSA4,equity,ITAUSA,PN      N1,BRITSAACNPR7,2016-01-04,6.6,165138096.28333333,60,20731,22723300,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,BBAS3.SA,BBAS3,equity,BRASIL,ON      NM,BRBBASACNOR3,2016-01-04,14.24,146987255.9,60,14351,6090500,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,JBSS3.SA,JBSS3,equity,JBS,ON      NM,BRJBSSACNOR8,2016-01-04,12.05,145324958.13333333,60,14021,6412800,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,PETR3.SA,PETR3,equity,PETROBRAS,ON,BRPETRACNOR9,2016-01-04,8.67,144324066.41666666,60,19666,16912500,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,BBSE3.SA,BBSE3,equity,BBSEGURIDADE,ON      NM,BRBBSEACNOR5,2016-01-04,22.83,132209831.66666667,60,21064,6505000,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,BVMF3.SA,BVMF3,equity,BMFBOVESPA,ON      NM,BRBVMFACNOR3,2016-01-04,10.45,131587753.76666667,60,18484,11394700,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,KROT3.SA,KROT3,equity,KROTON,ON      NM,BRKROTACNOR9,2016-01-04,9.42,118476097.06666666,60,17367,6564200,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,UGPA3.SA,UGPA3,equity,ULTRAPAR,ON      NM,BRUGPAACNOR8,2016-01-04,57.5,108257140.13333334,60,10871,2064700,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,SUZB5.SA,SUZB5,equity,SUZANO PAPEL,PNA     N1,BRSUZBACNPA3,2016-01-04,18.36,107133088.11666666,60,12705,5977400,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,VALE3.SA,VALE3,equity,VALE,ON      N1,BRVALEACNOR0,2016-01-04,12.69,99626899.08333333,60,12991,4587900,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,FIBR3.SA,FIBR3,equity,FIBRIA,ON      NM,BRFIBRACNOR9,2016-01-04,50.82,94412963.33333333,60,6597,1120400,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,LREN3.SA,LREN3,equity,LOJAS RENNER,ON  EJ  NM,BRLRENACNOR1,2016-01-04,16.15,78511577.46666667,60,14886,7405300,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,VIVT4.SA,VIVT4,equity,TELEF BRASIL,PN  EJ,BRVIVTACNPR7,2016-01-04,35.5,76989168.3,60,12333,3042600,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,CTIP3.SA,CTIP3,equity,CETIP,ON  EJ  NM,BRCTIPACNOR2,2016-01-04,35.8,76905138.71666667,60,8931,2086400,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,CCRO3.SA,CCRO3,equity,CCR SA,ON  ED  NM,BRCCROACNOR2,2016-01-04,12.15,75303217.46666667,60,13925,3504000,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,KLBN11.SA,KLBN11,equity,KLABIN S/A,UNT     N2,BRKLBNCDAM18,2016-01-04,21.94,73675073.46666667,60,8565,4348800,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,PCAR4.SA,PCAR4,equity,P.ACUCAR-CBD,PN      N1,BRPCARACNPR0,2016-01-04,39.92,67168366.85,60,4887,755200,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,HYPE3.SA,HYPE3,equity,HYPERMARCAS,ON      NM,BRHYPEACNOR0,2016-01-04,21.09,63463753.43333333,60,11105,2132000,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,BRKM5.SA,BRKM5,equity,BRASKEM,PNA     N1,BRBRKMACNPA4,2016-01-04,27.1,57964919.31666667,60,7839,1533100,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,RADL3.SA,RADL3,equity,RAIADROGASIL,ON      NM,BRRADLACNOR0,2016-01-04,35.16,57354604.55,60,10706,1660500,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,EMBR3.SA,EMBR3,equity,EMBRAER,ON  EJ  NM,BREMBRACNOR4,2016-01-04,29.32,56758484.233333334,60,7372,1904900,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,EQTL3.SA,EQTL3,equity,EQUATORIAL,ON  EJ  NM,BREQTLACNOR0,2016-01-04,33.0,53467850.083333336,60,7480,2107000,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,GGBR4.SA,GGBR4,equity,GERDAU,PN      N1,BRGGBRACNPR8,2016-01-04,4.54,53190543.75,60,10108,5058600,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,BBDC3.SA,BBDC3,equity,BRADESCO,ON  ES  N1,BRBBDCACNOR1,2016-01-04,20.2,49882057.93333333,60,7681,1974100,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,BBTG11.SA,BBTG11,equity,BTG PACTUAL,UNT EJ,BRBBTGUNT007,2016-01-04,15.3,49497624.2,60,908,279900,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,LAME4.SA,LAME4,equity,LOJAS AMERIC,PN,BRLAMEACNPR6,2016-01-04,18.77,43942685.71666667,60,6256,1493200,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,BRML3.SA,BRML3,equity,BR MALLS PAR,ON      NM,BRBRMLACNOR9,2016-01-04,10.87,41914269.4,60,6502,2283200,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,CMIG4.SA,CMIG4,equity,CEMIG,PN  EJ  N1,BRCMIGACNPR3,2016-01-04,5.66,38911357.483333334,60,8361,3613000,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,CSNA3.SA,CSNA3,equity,SID NACIONAL,ON,BRCSNAACNOR6,2016-01-04,3.86,35515220.11666667,60,9713,4417300,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,WEGE3.SA,WEGE3,equity,WEG,ON      NM,BRWEGEACNOR0,2016-01-04,14.64,34421530.93333333,60,12034,3030300,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,QUAL3.SA,QUAL3,equity,QUALICORP,ON      NM,BRQUALACNOR6,2016-01-04,13.75,34122338.05,60,7047,1806200,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,SMLE3.SA,SMLE3,equity,SMILES,ON      NM,BRSMLEACNOR1,2016-01-04,35.24,32165153.366666667,60,3873,1784100,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,TBLE3.SA,TBLE3,equity,TRACTEBEL,ON      NM,BRTBLEACNOR2,2016-01-04,32.66,32127886.4,60,4598,701200,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,NATU3.SA,NATU3,equity,NATURA,ON      NM,BRNATUACNOR6,2016-01-04,23.71,32052082.266666666,60,5327,1080300,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,MULT3.SA,MULT3,equity,MULTIPLAN,ON  EJ  N2,BRMULTACNOR5,2016-01-04,37.59,31580451.766666666,60,3589,502500,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,CSAN3.SA,CSAN3,equity,COSAN,ON      NM,BRCSANACNOR6,2016-01-04,24.0,29476682.733333334,60,4327,849600,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,TIMP3.SA,TIMP3,equity,TIM PART S/A,ON      NM,BRTIMPACNOR1,2016-01-04,6.79,28998134.2,60,7919,2036500,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,USIM5.SA,USIM5,equity,USIMINAS,PNA     N1,BRUSIMACNPA6,2016-01-04,1.46,28211219.383333333,60,12399,7663800,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,CYRE3.SA,CYRE3,equity,CYRELA REALT,ON      NM,BRCYREACNOR7,2016-01-04,7.28,27596669.366666667,60,5014,1277300,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,RENT3.SA,RENT3,equity,LOCALIZA,ON  EJ  NM,BRRENTACNOR4,2016-01-04,23.35,25826645.533333335,60,3304,822700,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,SULA11.SA,SULA11,equity,SUL AMERICA,UNT     N2,BRSULACDAM12,2016-01-04,18.28,24740176.75,60,4572,929800,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,BRPR3.SA,BRPR3,equity,BR PROPERT,ON      NM,BRBRPRACNOR9,2016-01-04,8.29,24091081.433333334,60,1309,347200,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,GOAU4.SA,GOAU4,equity,GERDAU MET,PN      N1,BRGOAUACNPR8,2016-01-04,1.6,23923682.2,60,6794,8019200,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,ESTC3.SA,ESTC3,equity,ESTACIO PART,ON      NM,BRESTCACNOR5,2016-01-04,13.9,23483390.633333333,60,5488,830700,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,SBSP3.SA,SBSP3,equity,SABESP,ON      NM,BRSBSPACNOR5,2016-01-04,18.15,23380701.85,60,4849,832400,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,ENBR3.SA,ENBR3,equity,ENERGIAS BR,ON  EJ  NM,BRENBRACNOR2,2016-01-04,11.27,23361012.8,60,8687,1599600,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,TRPL4.SA,TRPL4,equity,TRAN PAULIST,PN      N1,BRTRPLACNPR1,2016-01-04,44.4,22329322.883333333,60,2856,374900,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,CPFE3.SA,CPFE3,equity,CPFL ENERGIA,ON      NM,BRCPFEACNOR0,2016-01-04,14.8,22156551.383333333,60,7425,1430600,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,MRVE3.SA,MRVE3,equity,MRV,ON      NM,BRMRVEACNOR2,2016-01-04,8.33,21940186.0,60,7854,1767100,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,CPLE6.SA,CPLE6,equity,COPEL,PNB     N1,BRCPLEACNPB9,2016-01-04,23.0,21850313.866666667,60,3709,598200,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,SANB11.SA,SANB11,equity,SANTANDER BR,UNT EDJ,BRSANBCDAM13,2016-01-04,14.65,21276431.466666665,60,6842,1567000,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,TOTS3.SA,TOTS3,equity,TOTVS,ON  EJ  NM,BRTOTSACNOR8,2016-01-04,30.69,19513144.95,60,2561,486100,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,BRAP4.SA,BRAP4,equity,BRADESPAR,PN      N1,BRBRAPACNPR2,2016-01-04,4.7,19201266.033333335,60,4854,1870600,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,PSSA3.SA,PSSA3,equity,PORTO SEGURO,ON      NM,BRPSSAACNOR7,2016-01-04,28.63,18999147.733333334,60,2211,335300,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,ODPV3.SA,ODPV3,equity,ODONTOPREV,ON      NM,BRODPVACNOR4,2016-01-04,9.01,17231782.15,60,3073,1087100,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,VLID3.SA,VLID3,equity,VALID,ON  EDJ NM,BRVLIDACNOR5,2016-01-04,39.47,16693230.716666667,60,2912,480200,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,ECOR3.SA,ECOR3,equity,ECORODOVIAS,ON      NM,BRECORACNOR8,2016-01-04,4.77,16058909.15,60,6333,2854300,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,ELET6.SA,ELET6,equity,ELETROBRAS,PNB     N1,BRELETACNPB7,2016-01-04,9.9,15414520.65,60,2916,1107100,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
2016-01-04,OIBR4.SA,OIBR4,equity,OI,PN      N1,BROIBRACNPR8,2016-01-04,1.84,15138709.183333334,60,2921,3807200,B3 COTAHIST official annual file; last trading session 2016-01-04; 60-session average traded value,2016
