decision_date,ticker,ticker_raw,asset_class,issuer_name,specification,isin,observed_at,close_price_brl,average_daily_value_brl,trading_days,trade_count,quantity,source,universe_year
2022-01-03,XPBR31.SA,XPBR31,bdr,XP INC,DR1,BRXPBRBDR001,2022-01-03,164.84,223887268.54466668,60,10395,369633,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,PYPL34.SA,PYPL34,bdr,PAYPAL HOLD,DRN,BRPYPLBDR002,2022-01-03,55.33,6123256.380833333,60,228,108160,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,BACW39.SA,BACW39,bdr,MSCI ACWI,DRN ED,BRBACWBDR007,2022-01-03,60.49,5206773.763333334,60,41,1151205,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,AURA33.SA,AURA33,bdr,AURA 360,DR3,BRAURABDR001,2022-01-03,44.0,5145904.868,60,8738,134752,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,JNJB34.SA,JNJB34,bdr,JOHNSON,DRN,BRJNJBBDR002,2022-01-03,65.04,4592642.260333333,60,2812,68681,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,BERK34.SA,BERK34,bdr,BERKSHIRE,DRN,BRBERKBDR002,2022-01-03,85.47,4261612.677833333,60,2079,73290,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,JPMC34.SA,JPMC34,bdr,JPMORGAN,DRN,BRJPMCBDR009,2022-01-03,91.97,3874918.1025,60,1163,227171,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,A1MD34.SA,A1MD34,bdr,ADVANCED MIC,DRN,BRA1MDBDR002,2022-01-03,852.7,3812714.6344999997,60,727,29563,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,VISA34.SA,VISA34,bdr,VISA INC,DRN,BRVISABDR000,2022-01-03,62.66,3743574.5346666668,60,1127,103674,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,BKNG34.SA,BKNG34,bdr,BOOKING,DRN,BRBKNGBDR006,2022-01-03,79.7,3719224.1731666666,60,922,35118,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,MSCD34.SA,MSCD34,bdr,MASTERCARD,DRN,BRMSCDBDR006,2022-01-03,67.89,3630289.5146666667,60,72,38075,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,NIKE34.SA,NIKE34,bdr,NIKE,DRN,BRNIKEBDR006,2022-01-03,93.51,3536294.8575,60,788,55358,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,SSFO34.SA,SSFO34,bdr,SALESFORCE,DRN,BRSSFOBDR003,2022-01-03,66.0,3477343.7325,60,2016,42915,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,BIEU39.SA,BIEU39,bdr,COREMSCI EUR,DRN ED,BRBIEUBDR000,2022-01-03,55.53,3317458.8074999996,60,45,116982,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,AIRB34.SA,AIRB34,bdr,AIRBNB,DRN,BRAIRBBDR004,2022-01-03,48.64,3247853.4683333333,60,326,36229,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,BEGU39.SA,BEGU39,bdr,TRUSTMSCI US,DRN,BRBEGUBDR004,2022-01-03,61.69,3221003.8871666663,60,10,104945,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,GMCO34.SA,GMCO34,bdr,GENERAL MOT,DRN,BRGMCOBDR008,2022-01-03,86.85,3149452.702333333,60,3292,259809,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,COCA34.SA,COCA34,bdr,COCA COLA,DRN,BRCOCABDR002,2022-01-03,55.9,3031343.570333333,60,5759,134248,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,CMCS34.SA,CMCS34,bdr,COMCAST,DRN,BRCMCSBDR008,2022-01-03,57.78,2697201.8068333333,60,26,2507,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,BEFV39.SA,BEFV39,bdr,MSCIEAFEVALU,DRN ED,BRBEFVBDR004,2022-01-03,49.66,2647983.326363636,44,3,72,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,HOME34.SA,HOME34,bdr,HOME DEPOT,DRN,BRHOMEBDR002,2022-01-03,82.6,2528900.1151666665,60,405,31426,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,QCOM34.SA,QCOM34,bdr,QUALCOMM,DRN,BRQCOMBDR007,2022-01-03,87.98,2516022.1581666665,60,108,5479,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,ADBE34.SA,ADBE34,bdr,ADOBE INC,DRN,BRADBEBDR003,2022-01-03,63.95,2480284.2858333336,60,455,62659,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,UNHH34.SA,UNHH34,bdr,UNITEDHEALTH,DRN,BRUNHHBDR000,2022-01-03,81.68,2454961.2728333334,60,27,24019,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,COWC34.SA,COWC34,bdr,COSTCO,DRN,BRCOWCBDR006,2022-01-03,80.41,2450140.4616666664,60,420,38306,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,TSMC34.SA,TSMC34,bdr,TAIWANSMFAC,DRN,BRTSMCBDR002,2022-01-03,91.39,2415097.93,60,3889,157399,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,CHVX34.SA,CHVX34,bdr,CHEVRON,DRN,BRCHVXBDR008,2022-01-03,67.87,2251761.2401666665,60,1305,224344,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,ELCI34.SA,ELCI34,bdr,ESTEE LAUDER,DRN,BRELCIBDR007,2022-01-03,1045.46,2249432.584166667,60,47,9948,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,MUTC34.SA,MUTC34,bdr,MICRON TECHN,DRN ED,BRMUTCBDR008,2022-01-03,542.35,2243726.0054999995,60,56,1725,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,BEEM39.SA,BEEM39,bdr,MSCI EMGMARK,DRN ED,BRBEEMBDR006,2022-01-03,46.6,2197741.3068333333,60,3,15800,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,EXXO34.SA,EXXO34,bdr,EXXON MOBIL,DRN,BREXXOBDR006,2022-01-03,90.33,2143339.718,60,375,20039,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,U1BE34.SA,U1BE34,bdr,UBER TECH IN,DRN,BRU1BEBDR009,2022-01-03,62.43,2138207.2108333334,60,162,19742,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,C2OI34.SA,C2OI34,bdr,COINBASEGLOB,DRN,BRC2OIBDR003,2022-01-03,57.48,2056512.7453333333,60,81,1503,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,CHCM34.SA,CHCM34,bdr,CHARTER COMM,DRN,BRCHCMBDR001,2022-01-03,62.99,2016033.9956666667,60,25,19791,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,PGCO34.SA,PGCO34,bdr,PG,DRN,BRPGCOBDR001,2022-01-03,66.21,2003633.5605,60,92,5601,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,BOAC34.SA,BOAC34,bdr,BANK AMERICA,DRN,BRBOACBDR004,2022-01-03,65.62,1904781.0780000002,60,316,67590,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,BCHI39.SA,BCHI39,bdr,MSCI CHINA,DRN,BRBCHIBDR001,2022-01-03,44.49,1827248.6413333334,60,36,35417,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,N1XP34.SA,N1XP34,bdr,NXP SEMICOND,DRN,BRN1XPBDR008,2022-01-03,653.82,1697631.3497826087,46,1,320,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,GPIV33.SA,GPIV33,bdr,GP INVEST,DR3,BRGPIVBDR003,2022-01-03,5.84,1607031.149666667,60,468,16097,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,TGTB34.SA,TGTB34,bdr,TARGET CORP,DRN,BRTGTBBDR004,2022-01-03,1313.2,1598443.5659322033,59,22,154,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,I1SR34.SA,I1SR34,bdr,INTUITIVE SU,DRN,BRI1SRBDR001,2022-01-03,203.0,1322212.1970689655,58,10,83,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,MCDC34.SA,MCDC34,bdr,MCDONALDS,DRN,BRMCDCBDR000,2022-01-03,75.8,1294753.7718333334,60,1446,35334,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,FDMO34.SA,FDMO34,bdr,FORD MOTORS,DRN,BRFDMOBDR008,2022-01-03,123.5,1249974.864,60,403,15218,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,TEXA34.SA,TEXA34,bdr,TEXAS INC,DRN,BRTEXABDR003,2022-01-03,72.06,1181394.1205,60,31,5743,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,SBUB34.SA,SBUB34,bdr,STARBUCKS,DRN,BRSBUBBDR005,2022-01-03,661.44,1130895.4203333333,60,50,754,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,ASML34.SA,ASML34,bdr,ASML HOLD,DRN,BRASMLBDR003,2022-01-03,4502.17,1088015.8363793103,58,7,155,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,T1AM34.SA,T1AM34,bdr,ATLASSIAN CO,DRN,BRT1AMBDR007,2022-01-03,100.18,1063628.3535714285,56,9,308,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,WFCO34.SA,WFCO34,bdr,WELLS FARGO,DRN,BRWFCOBDR009,2022-01-03,72.09,1054198.6468333334,60,168,151216,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,S2EA34.SA,S2EA34,bdr,SEA LTD,DRN,BRS2EABDR003,2022-01-03,50.87,1044156.3911666666,60,99,1940,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,MRCK34.SA,MRCK34,bdr,MERCK,DRN,BRMRCKBDR003,2022-01-03,54.5,1006464.7911666667,60,24,3877,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,AVGO34.SA,AVGO34,bdr,BROADCOM INC,DRN ED,BRAVGOBDR003,2022-01-03,107.6,1005864.9693220338,59,51,5905,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,W1DA34.SA,W1DA34,bdr,WORKDAY INC,DRN,BRW1DABDR001,2022-01-03,373.93,1001299.3131428572,35,1,10025,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,STOC31.SA,STOC31,bdr,STONE CO,DR1,BRSTOCBDR008,2022-01-03,109.7,998914.8661666666,60,311,10082,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,BEWU39.SA,BEWU39,bdr,MSCI UK,DRN,BRBEWUBDR001,2022-01-03,63.53,980626.3078333333,60,8,730,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,RIGG34.SA,RIGG34,bdr,TRANSOCEAN,DRN,BRRIGGBDR000,2022-01-03,17.76,976156.7088333333,60,395,109529,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,BAAX39.SA,BAAX39,bdr,MSCI ASIA JP,DRN,BRBAAXBDR009,2022-01-03,47.25,972447.8949999999,60,10,37263,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,GOGL35.SA,GOGL35,bdr,ALPHABET,DRN C,BRGOGLBDR019,2022-01-03,109.99,925440.2569999999,60,28,2764,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,WALM34.SA,WALM34,bdr,WAL MART,DRN,BRWALMBDR005,2022-01-03,51.45,925123.9436666667,60,1006,90770,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,A1MT34.SA,A1MT34,bdr,APPLIED MATE,DRN,BRA1MTBDR008,2022-01-03,907.28,920220.9726315789,57,13,1427,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,GSGI34.SA,GSGI34,bdr,GOLDMANSACHS,DRN,BRGSGIBDR008,2022-01-03,224.63,877946.3023333333,60,44,3363,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,T1EV34.SA,T1EV34,bdr,TEVA PHARMAC,DRN,BRT1EVBDR000,2022-01-03,23.39,866876.845,44,2,17,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,M1NS34.SA,M1NS34,bdr,MONSTER BEVE,DRN,BRM1NSBDR004,2022-01-03,68.25,866201.3847457628,59,15,2557,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,BIVB39.SA,BIVB39,bdr,CORE SP 500,DRN,BRBIVBBDR004,2022-01-03,68.24,859357.9028333334,60,50,12660,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,E1TN34.SA,E1TN34,bdr,EATON CORP P,DRN,BRE1TNBDR002,2022-01-03,478.08,848666.751627907,43,1,1,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,ROST34.SA,ROST34,bdr,ROSS STORES,DRN,BRROSTBDR006,2022-01-03,321.85,846203.7237037037,54,1,800,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,ITLC34.SA,ITLC34,bdr,INTEL,DRN,BRITLCBDR005,2022-01-03,50.38,836595.4071666667,60,97,10886,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,BIBB39.SA,BIBB39,bdr,ICE BIOTECH,DRN,BRBIBBBDR006,2022-01-03,57.27,814520.05,60,5,10065,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,G2DI33.SA,G2DI33,bdr,G2D INVEST,DR3,BRG2DIBDR002,2022-01-03,5.71,788226.1706666667,60,1136,105513,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,ORCL34.SA,ORCL34,bdr,ORACLE,DRN,BRORCLBDR007,2022-01-03,82.85,787868.3471666666,60,68,1579,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,ABUD34.SA,ABUD34,bdr,AB INBEV,DRN,BRABUDBDR009,2022-01-03,60.0,783870.2768421053,57,20,70558,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,B1MR34.SA,B1MR34,bdr,BIOMARIN PHA,DRN,BRB1MRBDR001,2022-01-03,241.0,777264.4731818181,22,1,3,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,BIVE39.SA,BIVE39,bdr,SP500 VALUE,DRN,BRBIVEBDR008,2022-01-03,59.73,766157.7246666666,60,125,47178,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,AALL34.SA,AALL34,bdr,AMERICAN AIR,DRN,BRAALLBDR003,2022-01-03,106.41,756820.3080000001,60,55,8720,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,PAGS34.SA,PAGS34,bdr,PAGSEGURO,DRN,BRPAGSBDR006,2022-01-03,31.5,747568.2153333334,60,1337,117306,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,PEPB34.SA,PEPB34,bdr,PEPSICO INC,DRN,BRPEPBBDR005,2022-01-03,64.79,738060.6308333334,60,59,2029,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,TJXC34.SA,TJXC34,bdr,TJX COMPANIE,DRN,BRTJXCBDR008,2022-01-03,431.11,731468.9742307692,52,2,131,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,BEWJ39.SA,BEWJ39,bdr,MSCI JAPAN,DRN,BRBEWJBDR004,2022-01-03,47.5,713745.7345,60,37,56549,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,FCXO34.SA,FCXO34,bdr,FREEPORT,DRN,BRFCXOBDR007,2022-01-03,235.5,700264.2436666667,60,29,253,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,Z1OM34.SA,Z1OM34,bdr,ZOOM VIDEO,DRN,BRZ1OMBDR000,2022-01-03,41.77,646961.0201666667,60,72,15625,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,BEZU39.SA,BEZU39,bdr,MSCIEUROZONE,DRN ED,BRBEZUBDR004,2022-01-03,70.35,635727.6294827586,58,6,25503,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,M1SC34.SA,M1SC34,bdr,MSCI INC,DRN,BRM1SCBDR007,2022-01-03,844.9,629996.9225806452,31,1,200,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,VERZ34.SA,VERZ34,bdr,VERIZON,DRN,BRVERZBDR008,2022-01-03,49.82,595847.8733333333,60,101,5763,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,TXSA34.SA,TXSA34,bdr,TERNIUMSA,DRN,BRTXSABDR003,2022-01-03,251.3,595836.9533898305,59,125,19019,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,BOEI34.SA,BOEI34,bdr,BOEING,DRN,BRBOEIBDR003,2022-01-03,1182.5,588957.5507017544,57,7,6006,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,MSBR34.SA,MSBR34,bdr,MORGAN STAN,DRN,BRMSBRBDR008,2022-01-03,113.41,585036.6555,60,111,23660,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,BUSM39.SA,BUSM39,bdr,MSCI US MVOL,DRN,BRBUSMBDR002,2022-01-03,57.18,572140.8066666666,54,11,36048,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,BEFA39.SA,BEFA39,bdr,MSCI EAFE,DRN ED,BRBEFABDR008,2022-01-03,56.3,560164.9988135593,59,4,111011,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,BIAU39.SA,BIAU39,bdr,GOLD TRUST,DRN,BRBIAUBDR008,2022-01-03,48.6,551748.894,60,22,1309,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,HONB34.SA,HONB34,bdr,HONEYWELL,DRN,BRHONBBDR006,2022-01-03,1170.43,548473.1476923077,39,8,1148,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,ATVI34.SA,ATVI34,bdr,ACTIVISION,DRN,BRATVIBDR008,2022-01-03,381.84,543953.907,60,886,4419,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,C1CL34.SA,C1CL34,bdr,CARNIVAL COR,DRN,BRC1CLBDR004,2022-01-03,122.0,541012.8691666668,60,626,2401,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,BEGD39.SA,BEGD39,bdr,TRTMSCI EAFE,DRN ED,BRBEGDBDR000,2022-01-03,56.6,535100.1857894737,57,6,15334,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,LMTB34.SA,LMTB34,bdr,LOCKHEED,DRN,BRLMTBBDR009,2022-01-03,2011.57,530729.1475,48,124,2295,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,COPH34.SA,COPH34,bdr,COPHILLIPS,DRN ED,BRCOPHBDR009,2022-01-03,104.57,521757.04333333333,60,57,14001,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,IBMB34.SA,IBMB34,bdr,IBM,DRN,BRIBMBBDR003,2022-01-03,772.56,515749.35816666664,60,46,294,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,USSX34.SA,USSX34,bdr,US STEEL,DRN,BRUSSXBDR003,2022-01-03,136.11,510096.1637288136,59,5,55,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,BIEM39.SA,BIEM39,bdr,COREMSCI EMK,DRN,BRBIEMBDR007,2022-01-03,56.99,507178.31950000004,60,75,25324,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,JDCO34.SA,JDCO34,bdr,JD COM,DRN,BRJDCOBDR001,2022-01-03,387.48,506542.601,60,5,8,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,B1PP34.SA,B1PP34,bdr,BP PLC,DRN,BRB1PPBDR008,2022-01-03,38.81,488115.09033333336,60,23,1335,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,BSLV39.SA,BSLV39,bdr,SILVER TRUST,DRN,BRBSLVBDR002,2022-01-03,40.05,479708.5561666667,60,26,3592,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,L1RC34.SA,L1RC34,bdr,LAM RESEARCH,DRN,BRL1RCBDR000,2022-01-03,1020.6,478610.49499999994,44,1,110,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,METB34.SA,METB34,bdr,METLIFE INC,DRN,BRMETBBDR004,2022-01-03,357.35,453807.13890909083,55,2,16,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,R2BL34.SA,R2BL34,bdr,ROBLOX CORP,DRN,BRR2BLBDR007,2022-01-03,55.93,447163.0358928572,56,55,8472,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,U1LT34.SA,U1LT34,bdr,ULTA BEAUTY,DRN,BRU1LTBDR006,2022-01-03,116.7,445518.8305555555,36,2,107,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,D1VN34.SA,D1VN34,bdr,DEVON ENERGY,DRN,BRD1VNBDR009,2022-01-03,256.75,440846.10894736846,57,14,74,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
2022-01-03,N1OW34.SA,N1OW34,bdr,SERVICENOW,DRN,BRN1OWBDR003,2022-01-03,71.35,425832.2894545455,55,3,55895,B3 COTAHIST official annual file; last trading session 2022-01-03; 60-session average traded value,2022
