decision_date,ticker,ticker_raw,asset_class,issuer_name,specification,isin,observed_at,close_price_brl,average_daily_value_brl,trading_days,trade_count,quantity,source,universe_year
2024-01-02,XPBR31.SA,XPBR31,bdr,XP INC,DR1,BRXPBRBDR001,2024-01-02,125.4,98005958.72966667,60,18269,900041,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,JSRE11.SA,JSRE11,fii,FII JS REAL,CI  ER,BRJSRECTF007,2024-01-02,73.96,2599940.4096666668,60,6642,26366,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,VILG11.SA,VILG11,fii,FII VINCI LG,CI  ER,BRVILGCTF001,2024-01-02,98.4,2597616.3803333333,60,3061,25056,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,RZTR11.SA,RZTR11,fii,FII RIZA TX,CI  ER,BRRZTRCTF003,2024-01-02,105.7,2559350.8626666665,60,7739,27754,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,HFOF11.SA,HFOF11,fii,FII HTOPFOF3,CI  ER,BRHFOFCTF002,2024-01-02,78.33,2504423.927833333,60,10304,23914,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,RZAG11.SA,RZAG11,fii,FIAGRO RIZA,CI  ER,BRRZAGCTF006,2024-01-02,9.22,2495671.1485,60,11884,240707,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,CVBI11.SA,CVBI11,fii,FII VBI CRI,CI,BRCVBICTF001,2024-01-02,92.33,2448683.083166667,60,2266,20833,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,HSML11.SA,HSML11,fii,FII HSI MALL,CI  ER,BRHSMLCTF007,2024-01-02,96.14,2308953.606,60,4709,25479,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,KNHY11.SA,KNHY11,fii,FII KINEA HY,CI  ER,BRKNHYCTF005,2024-01-02,103.0,2277081.8753333334,60,3287,30458,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,BTCI11.SA,BTCI11,fii,FII BTG CRI,CI,BRBTCICTF005,2024-01-02,9.98,2212814.178333333,60,14112,225045,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,GALG11.SA,GALG11,fii,FII GUARDIAN,CI  ER,BRGALGCTF009,2024-01-02,9.32,2149340.799333333,60,15804,158220,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
