date,decision_year,strategy,mvo,cdi,equity_sleeve,IBOVESPA,BOVA11
2018-05-21,2018,234.361997,146.668784,173.391969,244.222578,144.693219,144.838219
2018-05-22,2018,244.278688,151.00351,173.434594,255.112816,146.327351,146.301237
2018-05-23,2018,238.43155,146.861637,173.477229,248.685701,143.016641,143.100897
2018-05-24,2018,241.111439,147.533179,173.519875,251.62595,141.699078,141.637879
2018-05-25,2018,240.035795,146.41409,173.562531,250.440557,139.534383,141.637879
2018-05-28,2018,230.938053,141.921618,173.605198,240.44249,133.270209,132.932966
2018-05-29,2018,231.683581,142.008072,173.647876,241.257743,134.536485,134.231387
2018-05-30,2018,232.36375,142.933134,173.690564,242.001196,135.74263,135.456657
2018-06-01,2018,239.384348,147.682849,173.733262,249.709925,136.602142,136.462483
2018-06-04,2018,241.912759,148.902417,173.775971,252.483761,139.000284,138.711857
2018-06-05,2018,234.254457,145.270669,173.81869,244.066986,135.544554,135.511518
2018-06-06,2018,226.0023,141.627451,173.86142,234.99783,134.616069,134.3594
2018-06-07,2018,222.167418,139.331085,173.90416,230.78127,130.608555,130.518996
2018-06-08,2018,215.990419,139.367906,173.946911,223.991776,129.00095,128.745091
2018-06-11,2018,215.672969,139.179686,173.989673,223.639288,127.879695,127.757556
2018-06-12,2018,216.484912,139.534425,174.032444,224.527494,128.668465,128.507342
2018-06-13,2018,214.846166,139.558012,174.075227,222.723495,127.550746,127.556391
2018-06-14,2018,214.352695,138.818852,174.11802,222.177636,126.310999,125.819069
2018-06-15,2018,210.592361,137.796445,174.160823,218.042966,125.138456,124.557216
2018-06-18,2018,212.000927,137.381537,174.203637,219.586588,123.470721,123.478237
2018-06-19,2018,219.786175,139.927705,174.246462,228.135311,126.263248,125.837347
2018-06-20,2018,219.652323,140.026855,174.289297,227.984508,127.552515,127.117491
2018-06-21,2018,220.491291,139.223463,174.332142,228.902396,123.930542,123.734277
2018-06-22,2018,224.01709,140.482879,174.374998,232.7719,124.931536,124.685229
2018-06-25,2018,220.057491,139.898473,174.417865,228.418321,125.483321,125.453308
2018-06-26,2018,215.862834,140.42006,174.460742,223.806518,126.282702,126.184817
2018-06-27,2018,214.42001,139.664052,174.50363,222.21774,124.874943,124.356051
2018-06-28,2018,218.350904,141.190624,174.546528,226.532257,126.922914,126.916325
2018-06-29,2018,220.922101,141.405535,174.589437,229.353079,128.684381,128.653647
2018-07-02,2018,220.539305,140.43158,174.632356,228.928792,128.820559,128.562217
2018-07-03,2018,221.954859,142.24096,174.675286,230.48008,130.284911,130.025221
2018-07-04,2018,223.712697,143.395582,174.718226,232.407384,132.186094,131.872278
2018-07-05,2018,220.923162,142.611185,174.761177,229.339171,131.850071,131.433378
2018-07-06,2018,224.326613,145.547099,174.804139,233.074261,132.658294,132.494052
2018-07-10,2018,224.703609,146.181854,174.890094,233.480865,132.39655,132.311178
2018-07-11,2018,225.070715,146.303403,174.933087,233.880376,131.577715,131.232213
2018-07-12,2018,225.119313,145.956244,174.976091,233.929988,134.15448,133.975361
2018-07-13,2018,226.854203,146.148943,175.019105,235.832076,135.459664,135.346935
2018-07-16,2018,225.93352,146.37112,175.06213,234.816884,135.564008,135.2372
2018-07-17,2018,224.20979,147.173589,175.105165,232.919503,138.176143,137.834057
2018-07-18,2018,221.812009,145.911129,175.148212,230.281643,136.819672,136.535636
2018-07-19,2018,219.659383,146.171102,175.191268,227.913097,137.038971,136.517344
2018-07-20,2018,228.755732,149.130384,175.234335,237.902109,138.95607,138.620427
2018-07-23,2018,226.213309,147.720512,175.277413,235.10535,137.939159,137.614601
2018-07-24,2018,226.131199,148.123424,175.320502,235.011366,139.988898,139.900557
2018-07-25,2018,225.675677,147.466929,175.363601,234.50717,141.868858,141.491588
2018-07-26,2018,224.982605,147.603145,175.40671,233.742011,140.431034,140.120014
2018-07-27,2018,226.024483,147.508999,175.449831,234.882782,141.246331,141.052675
2018-07-30,2018,225.242731,146.034412,175.492962,234.020202,141.971433,141.583018
2018-07-31,2018,222.688421,144.909137,175.536103,231.210379,140.103854,139.809114
2018-08-01,2018,225.686432,146.241019,175.579255,234.500056,140.248874,139.827405
2018-08-02,2018,224.562695,146.884035,175.622418,233.261786,140.841335,140.723496
2018-08-03,2018,221.067275,146.980495,175.665591,229.418104,144.021173,143.850698
2018-08-06,2018,222.065321,147.418475,175.708775,230.510717,143.342053,143.082605
2018-08-07,2018,217.369743,143.986222,175.751969,225.348599,142.097,141.711031
2018-08-08,2018,226.667349,145.771869,175.795174,235.55869,139.983593,139.571379
2018-08-09,2018,232.886964,146.111708,175.83839,242.387454,139.304473,138.913022
2018-08-10,2018,225.77633,141.866515,175.881616,234.572274,135.31818,134.962896
2018-08-13,2018,222.362845,140.92678,175.924853,230.818596,137.054888,136.956244
2018-08-14,2018,227.577004,144.679553,175.968101,236.542814,139.010895,138.803301
2018-08-15,2018,222.531332,141.608352,176.011359,230.996094,136.315638,136.041861
2018-08-16,2018,222.909854,142.196111,176.054628,231.408122,135.857586,135.58467
2018-08-17,2018,218.382227,139.756224,176.097908,226.430499,134.460438,134.139943
2018-08-20,2018,218.145121,139.92545,176.141198,226.166227,134.989232,134.743439
2018-08-21,2018,213.304907,135.863511,176.184499,220.845211,132.958946,132.603787
2018-08-22,2018,215.954204,137.451919,176.22781,223.751794,136.004375,135.602961
2018-08-23,2018,213.62143,135.762351,176.271132,221.185323,133.761864,133.554739
2018-08-24,2018,215.023566,135.556917,176.314465,222.721836,134.872508,134.743439
2018-08-27,2018,207.772254,135.249549,176.357808,214.752104,137.822435,137.340283
2018-08-28,2018,207.985552,135.490376,176.401162,214.982618,137.014212,136.77337
