ticker,isin,issuer_name,asset_class,cnpj_cia,cvm_name,cvm_sector,match_method,confidence,mapping_status,source,universe_year,decision_date
FBMC4.SA,BRFBMCACNPR0,FIBAM,equity,61.410.395/0001-95,FIBAM CIA INDUSTRIAL,Metalurgia e Siderurgia,official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
FESA4.SA,BRFESAACNPR5,FERBASA,equity,15.141.799/0001-03,CIA FERRO LIGAS BAHIA FERBASA,Metalurgia e Siderurgia,official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
FHER3.SA,BRFHERACNOR5,FER HERINGER,equity,22.266.175/0001-88,FERTILIZANTES HERINGER S.A.,Petroquímicos e Borracha,official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
FIBR3.SA,BRFIBRACNOR9,FIBRIA,equity,60.643.228/0001-21,FIBRIA CELULOSE S.A.,Papel e Celulose,official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
FJTA3.SA,BRFJTAACNOR5,FORJA TAURUS,equity,,,,no_deterministic_cnpj_match,0.0,review_required,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
FJTA4.SA,BRFJTAACNPR2,FORJA TAURUS,equity,,,,no_deterministic_cnpj_match,0.0,review_required,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
FLRY3.SA,BRFLRYACNOR5,FLEURY,equity,60.840.055/0001-31,FLEURY SA,Serviços Médicos,official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
FRAS4.SA,BRFRASACNPR7,FRAS-LE,equity,88.610.126/0001-29,FRASLE MOBILITY S.A.,"Máquinas, Equipamentos, Veículos e Peças",official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
FRIO3.SA,BRFRIOACNOR2,METALFRIO,equity,04.821.041/0001-08,METALFRIO SOLUTIONS S/A,"Máquinas, Equipamentos, Veículos e Peças",official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
FTRX3.SA,BRFTRXACNOR0,FAB C RENAUX,equity,82.981.671/0001-45,MASSA FALIDA DA FÁBRICA DE TECIDOS CARLOS RENAUX S.A.,Têxtil e Vestuário,official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
FTRX4.SA,BRFTRXACNPR7,FAB C RENAUX,equity,82.981.671/0001-45,MASSA FALIDA DA FÁBRICA DE TECIDOS CARLOS RENAUX S.A.,Têxtil e Vestuário,official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
GETI3.SA,BRGETIACNOR7,AES TIETE,equity,,,,no_deterministic_cnpj_match,0.0,review_required,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
GETI4.SA,BRGETIACNPR4,AES TIETE,equity,,,,no_deterministic_cnpj_match,0.0,review_required,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
GFSA3.SA,BRGFSAACNOR3,GAFISA,equity,01.545.826/0001-07,GAFISA SA,"Construção Civil, Mat. Constr. e Decoração",official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
GGBR3.SA,BRGGBRACNOR1,GERDAU,equity,33.611.500/0001-19,GERDAU S.A.,Metalurgia e Siderurgia,official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
GGBR4.SA,BRGGBRACNPR8,GERDAU,equity,33.611.500/0001-19,GERDAU S.A.,Metalurgia e Siderurgia,official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
GLOB3.SA,BRGLOBACNOR8,GLOBEX,equity,,,,no_deterministic_cnpj_match,0.0,review_required,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
GOAU3.SA,BRGOAUACNOR1,GERDAU MET,equity,92.690.783/0001-09,METALURGICA GERDAU SA,Emp. Adm. Part. - Metalurgia e Siderurgia,official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
GOAU4.SA,BRGOAUACNPR8,GERDAU MET,equity,92.690.783/0001-09,METALURGICA GERDAU SA,Emp. Adm. Part. - Metalurgia e Siderurgia,official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
GOLL4.SA,BRGOLLACNPR4,GOL,equity,06.164.253/0001-87,GOL LINHAS AEREAS INTELIGENTES SA,Emp. Adm. Part. - Serviços Transporte e Logística,official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
GPCP3.SA,BRGPCPACNOR4,GPC PART,equity,,,,no_deterministic_cnpj_match,0.0,review_required,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
GRND3.SA,BRGRNDACNOR3,GRENDENE,equity,89.850.341/0001-60,GRENDENE SA,Têxtil e Vestuário,official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
GSHP3.SA,BRGSHPACNOR7,GENERALSHOPP,equity,08.764.621/0001-53,GENERAL SHOPPING E OUTLETS DO BRASIL BRASIL S.A.,Comércio (Atacado e Varejo),official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
GTDP3B.SA,BRGTDPACNOR4,GTD PART,equity,00.649.881/0001-76,GTD PARTICIPACOES SA,Emp. Adm. Part. - Sem Setor Principal,official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
