ticker,coverage_start,coverage_end,status,source_url,extracted_at,note
IMBI4,2011-01-05,2016-11-22,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IklNQkkiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
INEP3,2011-01-03,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IklORVAiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
INEP4,2011-01-03,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IklORVAiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
INTB3,2021-02-04,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IklOVEIiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
IRBR3,2017-07-31,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IklSQlIiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
ISAE3,2024-11-18,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IklTQUUiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
ISAE4,2024-11-18,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IklTQUUiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
ITEC3,2011-01-10,2019-05-28,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IklURUMiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
ITSA3,2011-01-03,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IklUU0EiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
ITSA4,2011-01-03,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IklUU0EiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
ITUB3,2011-01-03,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IklUVUIiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
ITUB4,2011-01-03,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IklUVUIiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
JALL3,2021-02-08,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IkpBTEwiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
JFEN3,2011-01-03,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IkpGRU4iLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
JHSF3,2011-01-03,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IkpIU0YiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
JOPA3,2011-03-25,2025-12-17,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IkpPUEEiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
JSLG3,2011-01-03,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IkpTTEciLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
KEPL3,2011-01-03,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IktFUEwiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
KLBN3,2011-01-03,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IktMQk4iLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
KLBN4,2011-01-03,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IktMQk4iLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
KRSA3,2021-08-13,2025-04-14,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IktSU0EiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
LAME3,2011-01-03,2022-01-21,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IkxBTUUiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
LAME4,2011-01-03,2022-01-21,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IkxBTUUiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
LAND3,2021-08-02,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IkxBTkQiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
LAVV3,2020-09-02,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IkxBVlYiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
LCAM3,2012-04-23,2022-07-01,failed,https://sistemaswebb3-listados.b3.com.br/dividensOtherCorpActPage/,2026-08-21T01:15:30.188864+00:00,company not found in the current B3 listed-company service
LEVE3,2011-01-12,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IkxFVkUiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
LFFE3,2011-01-27,2017-07-27,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IkxGRkUiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
LFFE4,2011-01-27,2017-07-19,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IkxGRkUiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
LIGT3,2011-01-03,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IkxJR1QiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
LIPR3,2011-01-03,2025-05-27,failed,https://sistemaswebb3-listados.b3.com.br/dividensOtherCorpActPage/,2026-08-21T01:15:30.188864+00:00,B3 request failed after 4 attempts: GetListedSupplementCompany
LIXC3,2011-01-06,2018-01-16,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IkxJWEMiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
LIXC4,2011-01-03,2018-01-16,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IkxJWEMiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
LJQQ3,2020-08-10,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IkxKUVEiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
LLIS3,2011-01-03,2023-02-08,failed,https://sistemaswebb3-listados.b3.com.br/dividensOtherCorpActPage/,2026-08-21T01:15:30.188864+00:00,B3 request failed after 4 attempts: GetListedSupplementCompany
