name,train_signal,train_equity_cap,train_alpha_strength,train_split,train_years,train_cagr,train_cdi_cagr,train_neutral_mvo_cagr,train_excess_cdi,train_excess_mvo,train_hit_both,train_worst_year,train_max_drawdown,train_average_turnover,holdout_signal,holdout_equity_cap,holdout_alpha_strength,holdout_split,holdout_years,holdout_cagr,holdout_cdi_cagr,holdout_neutral_mvo_cagr,holdout_excess_cdi,holdout_excess_mvo,holdout_hit_both,holdout_worst_year,holdout_max_drawdown,holdout_average_turnover,train_score
trend_consistency_eq75_tilt50,trend_consistency,0.75,0.5,train,6,0.32108210519667657,0.0860290624962976,0.3924658150085074,0.23505304270037897,-0.07138370981183084,0.0,0.08589147839188166,0.0,0.8074511611122773,trend_consistency,0.75,0.5,holdout,5,0.09985028205946356,0.1087137638826996,0.15361914418313716,-0.008863481823236041,-0.0537688621236736,0.4,-0.023731531467582865,-0.02373153146758289,0.7782684523976607,0.13944579805517981
trend_consistency_eq75_tilt25,trend_consistency,0.75,0.25,train,6,0.3210821049062651,0.0860290624962976,0.3924658150085074,0.2350530424099675,-0.07138371010224231,0.0,0.0858914774158373,0.0,0.807451156443693,trend_consistency,0.75,0.25,holdout,5,0.10339475587339209,0.1087137638826996,0.15361914418313716,-0.005319008009307513,-0.05022438830974507,0.4,-0.023730609130398355,-0.02373060913039826,0.7775350363409222,0.1394457976144144
trend_consistency_eq100_tilt50,trend_consistency,1.0,0.5,train,6,0.3370100695190097,0.0860290624962976,0.4383343057798117,0.2509810070227121,-0.101324236260802,0.16666666666666666,0.13229205154926035,0.0,0.9931548198417728,trend_consistency,1.0,0.5,holdout,5,0.10129752895461519,0.1087137638826996,0.1557701011392323,-0.007416234928084409,-0.054472572184617096,0.2,-0.06752260041445673,-0.06752260041445668,1.0000000000936153,0.1198621261666569
trend_consistency_eq100_tilt25,trend_consistency,1.0,0.25,train,6,0.3354661756994024,0.0860290624962976,0.4383343057798117,0.2494371132031048,-0.10286813008040929,0.16666666666666666,0.13229205154923718,0.0,0.9958482015682127,trend_consistency,1.0,0.25,holdout,5,0.10129753013180687,0.1087137638826996,0.1557701011392323,-0.007416233750892731,-0.05447257100742542,0.2,-0.06752259822927402,-0.06752259822927398,1.0000000021718294,0.11669353707564913
trend_consistency_eq100_tilt00,trend_consistency,1.0,0.0,train,6,0.33305599566498145,0.0860290624962976,0.4383343057798117,0.24702693316868385,-0.10527831011483024,0.16666666666666666,0.13229205154921564,0.0,1.0000924465906864,trend_consistency,1.0,0.0,holdout,5,0.10129752860167218,0.1087137638826996,0.1557701011392323,-0.007416235281027417,-0.054472572537560104,0.2,-0.06752260611313092,-0.06752260611313088,1.000000000989794,0.11174584965613302
momentum_risk_adjusted_eq100_tilt00,momentum_risk_adjusted,1.0,0.0,train,6,0.33068951006587954,0.0860290624962976,0.4383343057798117,0.24466044756958194,-0.10764479571393215,0.16666666666666666,-0.11388902562657383,0.0,1.0154726083946508,momentum_risk_adjusted,1.0,0.0,holdout,5,0.20835078896313997,0.1087137638826996,0.1557701011392323,0.09963702508044037,0.05258068782390768,0.6,0.08782920673971055,0.0,0.9329997736714392,0.10655147360381026
momentum_risk_adjusted_eq100_tilt25,momentum_risk_adjusted,1.0,0.25,train,6,0.33068951004904235,0.0860290624962976,0.4383343057798117,0.24466044755274474,-0.10764479573076935,0.16666666666666666,-0.11388902563630471,0.0,1.015472608158608,momentum_risk_adjusted,1.0,0.25,holdout,5,0.20835078971818888,0.1087137638826996,0.1557701011392323,0.09963702583548928,0.05258068857895659,0.6,0.08782920674783223,0.0,0.9329997737495356,0.10655147357721716
momentum_risk_adjusted_eq100_tilt50,momentum_risk_adjusted,1.0,0.5,train,6,0.3306895100196261,0.0860290624962976,0.4383343057798117,0.2446604475233285,-0.1076447957601856,0.16666666666666666,-0.11388902564136999,0.0,1.0154726078134029,momentum_risk_adjusted,1.0,0.5,holdout,5,0.20835079075876184,0.1087137638826996,0.1557701011392323,0.09963702687606224,0.05258068961952955,0.6,0.08782920675369488,0.0,0.9329997747034942,0.10655147352874081
momentum_12_1_eq100_tilt50,momentum_12_1,1.0,0.5,train,6,0.32966160276200673,0.0860290624962976,0.4383343057798117,0.24363254026570913,-0.10867270301780496,0.3333333333333333,-0.34361202595973767,0.0,1.0058919385998037,momentum_12_1,1.0,0.5,holdout,5,0.13906067005217615,0.1087137638826996,0.1557701011392323,0.03034690616947655,-0.016709431087056137,0.0,0.007966815161499583,0.0,1.007304834292163,0.10478307908991005
momentum_12_1_eq100_tilt25,momentum_12_1,1.0,0.25,train,6,0.32966160223930463,0.0860290624962976,0.4383343057798117,0.24363253974300703,-0.10867270354050707,0.3333333333333333,-0.3436120277127413,0.0,1.0058919381793234,momentum_12_1,1.0,0.25,holdout,5,0.13906066999470568,0.1087137638826996,0.1557701011392323,0.030346906112006078,-0.01670943114452661,0.0,0.007966815159682018,0.0,1.0073048343473407,0.10478307805712025
