decision_year,decision_date,ticker,weight,previous_weight,decision_action,factor,value_quality_score,factor_signal_at_decision,trailing_12m_return_at_decision,trailing_12m_volatility_at_decision,eligible_at_decision,fundamental_status,decision_rationale,realised_next_year_return
2015,2015-01-02,LREN3.SA,0.02096414072979822,0.0,entered,triple_factor,0.717948717948718,,0.2570127878624595,0.27708593491114486,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.14831296205280964
2015,2015-01-02,MRVE3.SA,0.02188722077803186,0.0,entered,triple_factor,0.7435897435897436,,-0.1194512320841109,0.4328130662203771,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.26643271359337883
2015,2015-01-02,PSSA3.SA,0.04490669816545653,0.0,entered,triple_factor,0.8205128205128205,,0.1355238972247803,0.29680964779345403,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.02212416879000778
2015,2015-01-02,TOTS3.SA,0.018700089998839344,0.0,entered,triple_factor,0.6923076923076923,,-0.0017368107118702625,0.2876287402374408,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.10340663581436982
2015,2015-01-02,TITULO_CDI,0.44999999999999996,0.46898847024849805,reduced,triple_factor,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.1313058205754336
2016,2016-01-04,ABEV3.SA,0.020080728224711752,0.03886460369208527,reduced,triple_factor,0.696969696969697,,0.23808045676556278,0.2245009969857083,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,-0.012329125426664644
2016,2016-01-04,BBAS3.SA,0.04169154458806608,0.0,entered,triple_factor,0.7878787878787878,,-0.3010982373380159,0.4810217396314637,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,1.0641279926019473
2016,2016-01-04,BBDC3.SA,0.01587467702490627,0.0,entered,triple_factor,0.6666666666666666,,-0.22147290604368963,0.3214292899097514,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.6587991949643557
2016,2016-01-04,BRSR6.SA,0.0733,0.0,entered,triple_factor,0.9696969696969697,,-0.5057113512762589,0.4626400327035476,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.9885062259337567
2016,2016-01-04,CMIG4.SA,0.0733,0.03645216861030258,increased,triple_factor,0.9393939393939394,,-0.4805619696394884,0.43887168106411395,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,0.49544160134880677
2016,2016-01-04,ENBR3.SA,0.050668495907295275,0.0,entered,triple_factor,0.9090909090909091,,0.38551860147255246,0.3623327728386188,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.2000517085013509
2016,2016-01-04,EQTL3.SA,0.0432823545819023,0.03461722837507533,increased,triple_factor,0.8181818181818182,,0.31044872767652,0.2859466170595786,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,0.6841740630334778
2016,2016-01-04,ITSA4.SA,0.04042628470531653,0.05080591942422114,reduced,triple_factor,0.7575757575757576,,-0.14459693402439444,0.3008854494674754,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,0.49429361160676955
2016,2016-01-04,ITUB4.SA,0.04418393041472044,0.058370400258623015,reduced,triple_factor,0.8484848484848485,,-0.11153542513005499,0.32158279238971865,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,0.5703925567847794
2016,2016-01-04,LREN3.SA,0.04512724168747975,0.02422344269335681,increased,triple_factor,0.8787878787878788,,0.17779672401812174,0.3223246639652782,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,0.464912637287612
2016,2016-01-04,RADL3.SA,0.02876474286560168,0.0,entered,triple_factor,0.7272727272727273,,0.5613601648050022,0.3437424238143957,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.7579698200662774
2016,2016-01-04,SMLE3.SA,0.0733,0.0,entered,triple_factor,1.0,,-0.22514120339382782,0.43516367773411785,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.28109796220140715
2016,2016-01-04,TITULO_CDI,0.44999999999999996,0.5122607346206752,reduced,triple_factor,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.13881531059776075
