name,equity_cap,asset_cap,top_assets,split,years,cagr,mvo_cagr,cdi_cagr,excess_mvo_cagr,excess_cdi_cagr,annual_both_hit_rate,worst_year,relative_mvo_drawdown,relative_cdi_drawdown,average_equity_weight,average_turnover
lv_eq35_cap050_top10,0.35,0.05,10,holdout,5,0.12716904132735118,0.1256364999663513,0.10347591307479975,0.001532541360999895,0.023693128252551432,0.4,0.0361710966492185,-0.006522839486864829,-0.042555652439988934,0.23312242194595187,0.503987881406603
lv_eq35_cap100_top5,0.35,0.1,5,train,6,0.09591499504077405,0.08495873022597089,0.08511971475667113,0.010956264814803163,0.010795280284102926,0.5,-0.0034343882565540905,-0.0034433372136699614,-0.054497861056967856,0.32500000009862284,0.5711471164986391
lv_eq35_cap100_top5,0.35,0.1,5,holdout,5,0.15096962888180854,0.14857724858891874,0.10347591307479975,0.0023923802928897953,0.047493715807008785,0.2,0.042446018353044436,-0.00010859843475152786,-0.036757490016680605,0.3199989339010557,0.5479370560826328
lv_eq35_cap100_top10,0.35,0.1,10,train,6,0.09591499504077405,0.08495873022597089,0.08511971475667113,0.010956264814803163,0.010795280284102926,0.5,-0.0034343882565540905,-0.0034433372136699614,-0.054497861056967856,0.32500000009862284,0.5711471164986391
lv_eq35_cap100_top10,0.35,0.1,10,holdout,5,0.15096962888180854,0.14857724858891874,0.10347591307479975,0.0023923802928897953,0.047493715807008785,0.2,0.042446018353044436,-0.00010859843475152786,-0.036757490016680605,0.3199989339010557,0.5479370560826328
lv_eq45_cap050_top5,0.45,0.05,5,train,6,0.10701557580194065,0.10513589769641407,0.08511971475667113,0.0018796781055265832,0.021895861045269527,0.3333333333333333,-0.055371983189410966,-0.00991583768881421,-0.08049815665112958,0.3666667596308179,0.5411755079210016
lv_eq45_cap050_top5,0.45,0.05,5,holdout,5,0.12239820924783262,0.12188544035719495,0.10347591307479975,0.0005127688906376715,0.01892229617303287,0.4,0.014492734429282289,-0.00652321980541104,-0.06258692472596272,0.25312241945369135,0.5523196109007082
lv_eq45_cap050_top10,0.45,0.05,10,train,6,0.10701557580194065,0.10513589769641407,0.08511971475667113,0.0018796781055265832,0.021895861045269527,0.3333333333333333,-0.055371983189410966,-0.00991583768881421,-0.08049815665112958,0.3666667596308179,0.5411755079210016
lv_eq45_cap050_top10,0.45,0.05,10,holdout,5,0.12239820924783262,0.12188544035719495,0.10347591307479975,0.0005127688906376715,0.01892229617303287,0.4,0.014492734429282289,-0.00652321980541104,-0.06258692472596272,0.25312241945369135,0.5523196109007082
lv_eq45_cap100_top5,0.45,0.1,5,train,6,0.08853487589210252,0.09362349847155049,0.08511971475667113,-0.005088622579447977,0.0034151611354313882,0.3333333333333333,-0.06731899182530761,-0.028352278273291343,-0.09212738664189601,0.4083333333696473,0.6865188969206445
