name,train_gamma,train_shrinkage,train_momentum_prior,train_split,train_years,train_cagr,train_cdi_cagr,train_excess_cdi,train_baseline_mvo_cagr,train_excess_baseline_mvo,train_cdi_hit_rate,train_baseline_mvo_hit_rate,train_worst_year,train_drawdown,train_turnover,holdout_gamma,holdout_shrinkage,holdout_momentum_prior,holdout_split,holdout_years,holdout_cagr,holdout_cdi_cagr,holdout_excess_cdi,holdout_baseline_mvo_cagr,holdout_excess_baseline_mvo,holdout_cdi_hit_rate,holdout_baseline_mvo_hit_rate,holdout_worst_year,holdout_drawdown,holdout_turnover,train_score
mvo_g10.0_s0.25_p0.1,10.0,0.25,0.1,train,6,0.480455869267437,0.08602906249629738,0.3944268067711396,0.48307476791098125,-0.002618898643544254,1.0,0.6666666666666666,0.18246257494380563,0.0,1.5735855922575401,10.0,0.25,0.1,holdout,5,0.08331120941267645,0.10871376388269938,-0.02540255447002293,0.08145277889612257,0.0018584305165538773,0.6,0.6,-0.2964019800749741,-0.2964019800749741,1.9181415287273467,0.31312862851471834
mvo_g10.0_s0.75_p0.25,10.0,0.75,0.25,train,6,0.47610277134451984,0.08602906249629738,0.39007370884822246,0.48307476791098125,-0.006971996566461414,0.8333333333333334,0.6666666666666666,0.09697042000405959,0.0,1.577244550376534,10.0,0.75,0.25,holdout,5,0.06703645236332978,0.10871376388269938,-0.0416773115193696,0.08145277889612257,-0.01441632653279279,0.4,0.6,-0.27403935193981227,-0.2740393519398123,1.9245228791106537,0.30423948476293433
mvo_g10.0_s0.0_p0.1,10.0,0.0,0.1,train,6,0.4766926322340881,0.08602906249629738,0.3906635697377907,0.48307476791098125,-0.006382135676893164,1.0,0.3333333333333333,0.2047505249238858,0.0,1.6034696115147893,10.0,0.0,0.1,holdout,5,0.08219168441235691,0.10871376388269938,-0.026522079470342463,0.08145277889612257,0.000738905516234345,0.6,0.8,-0.30809755694314944,-0.30809755694314944,1.905507833625601,0.30410795348515807
mvo_g10.0_s0.5_p0.25,10.0,0.5,0.25,train,6,0.4724327727350319,0.08602906249629738,0.38640371023873454,0.48307476791098125,-0.010641995175949326,0.8333333333333334,0.6666666666666666,0.11659877393502832,0.0,1.5746018106376065,10.0,0.5,0.25,holdout,5,0.07762177284094873,0.10871376388269938,-0.031091991041750644,0.08145277889612257,-0.0038310060551738356,0.4,0.6,-0.28839010674367516,-0.28839010674367516,1.9193605407315943,0.29703162453090487
mvo_g10.0_s0.25_p0.25,10.0,0.25,0.25,train,6,0.47121437681621936,0.08602906249629738,0.385185314319922,0.48307476791098125,-0.01186039109476189,1.0,0.6666666666666666,0.14053792634647283,0.0,1.5787148958413837,10.0,0.25,0.25,holdout,5,0.08304095246596677,0.10871376388269938,-0.02567281141673261,0.08145277889612257,0.0015881735698441979,0.6,0.6,-0.29798377337238346,-0.29798377337238346,1.9203378373340871,0.29438917843309087
mvo_g10.0_s0.0_p0.25,10.0,0.0,0.25,train,6,0.46756329616800785,0.08602906249629738,0.38153423367171047,0.48307476791098125,-0.015511471742973404,1.0,0.3333333333333333,0.17118098768579243,0.0,1.6085084995410819,10.0,0.0,0.25,holdout,5,0.08253494103672865,0.10871376388269938,-0.02617882284597073,0.08145277889612257,0.00108216214060608,0.6,0.6,-0.30947055012924163,-0.30947055012924163,1.9091771596652614,0.285597336951683
mvo_g20.0_s0.75_p0.0,20.0,0.75,0.0,train,6,0.3911186695049882,0.08602906249629738,0.3050896070086908,0.48307476791098125,-0.09195609840599306,0.8333333333333334,0.16666666666666666,0.03325215987276847,0.0,1.5697557021408786,20.0,0.75,0.0,holdout,5,0.1216588080551293,0.10871376388269938,0.01294504417242992,0.08145277889612257,0.04020602915900673,0.4,0.2,-0.03651886833872649,-0.03651886833872653,1.8969083292108688,0.13464572349565382
mvo_g20.0_s0.75_p0.1,20.0,0.75,0.1,train,6,0.38703864139572586,0.08602906249629738,0.3010095788994285,0.48307476791098125,-0.0960361265152554,0.8333333333333334,0.16666666666666666,0.02086201029829199,0.0,1.5747871912674638,20.0,0.75,0.1,holdout,5,0.12167726684676783,0.10871376388269938,0.012963502964068452,0.08145277889612257,0.04022448795064526,0.4,0.2,-0.035206190054268394,-0.035206190054268394,1.902587407778369,0.1262340928207999
mvo_g20.0_s0.75_p0.25,20.0,0.75,0.25,train,6,0.38240721929704846,0.08602906249629738,0.2963781568007511,0.48307476791098125,-0.10066754861393279,0.8333333333333334,0.16666666666666666,0.0038801726200319866,0.0,1.5804419411079624,20.0,0.75,0.25,holdout,5,0.12160026635227816,0.10871376388269938,0.012886502469578787,0.08145277889612257,0.040147487456155595,0.4,0.2,-0.03607445521194204,-0.03607445521194208,1.9059175238123511,0.11668851113142016
mvo_g20.0_s0.5_p0.0,20.0,0.5,0.0,train,6,0.37996086178277144,0.08602906249629738,0.29393179928647406,0.48307476791098125,-0.10311390612820981,0.8333333333333334,0.16666666666666666,0.05238758105866054,0.0,1.5766712360468749,20.0,0.5,0.0,holdout,5,0.13695550602217588,0.10871376388269938,0.0282417421394765,0.08145277889612257,0.05550272712605331,0.6,0.4,-0.04572417445574844,-0.04572417445574839,1.877374404023898,0.11198433135592051
mvo_g20.0_s0.5_p0.1,20.0,0.5,0.1,train,6,0.37667476330179905,0.08602906249629738,0.29064570080550167,0.48307476791098125,-0.1064000046091822,0.8333333333333334,0.16666666666666666,0.03955964332496237,0.0,1.5806429283688146,20.0,0.5,0.1,holdout,5,0.13791411349272575,0.10871376388269938,0.029200349610026377,0.08145277889612257,0.056461334596603185,0.6,0.4,-0.04316665280268976,-0.04316665280268972,1.880951797661858,0.10521354977787874
mvo_g20.0_s0.5_p0.25,20.0,0.5,0.25,train,6,0.3720751766860555,0.08602906249629738,0.2860461141897581,0.48307476791098125,-0.11099959122492575,0.8333333333333334,0.16666666666666666,0.02157088755990816,0.0,1.5857470074111193,20.0,0.5,0.25,holdout,5,0.13897163529930423,0.10871376388269938,0.030257871416604853,0.08145277889612257,0.05751885640318166,0.6,0.4,-0.0405097578090792,-0.04050975780907917,1.8859697996635543,0.0957591725942764
mvo_g20.0_s0.25_p0.0,20.0,0.25,0.0,train,6,0.3705115966371624,0.08602906249629738,0.284482534140865,0.48307476791098125,-0.11256317127381887,0.8333333333333334,0.16666666666666666,0.06806949352294694,0.0,1.5963845629164826,20.0,0.25,0.0,holdout,5,0.14139618492848993,0.10871376388269938,0.032682421045790555,0.08145277889612257,0.05994340603236736,0.4,0.4,-0.05864376477214276,-0.058643764772142726,1.8424117075036168,0.09210013472122199
mvo_g20.0_s0.25_p0.1,20.0,0.25,0.1,train,6,0.3667771976190559,0.08602906249629738,0.28074813512275854,0.48307476791098125,-0.11629757029192533,0.8333333333333334,0.16666666666666666,0.054452843830979536,0.0,1.6006846604608027,20.0,0.25,0.1,holdout,5,0.14163462602354593,0.10871376388269938,0.03292086214084655,0.08145277889612257,0.06018184712742336,0.4,0.4,-0.055923163577860674,-0.055923163577860646,1.848924006825405,0.08441633180779307
mvo_g20.0_s0.25_p0.25,20.0,0.25,0.25,train,6,0.3623097464347589,0.08602906249629738,0.2762806839384615,0.48307476791098125,-0.12076502147622237,0.8333333333333334,0.16666666666666666,0.035351961857536474,0.0,1.6057554405964503,20.0,0.25,0.25,holdout,5,0.14247194802239194,0.10871376388269938,0.03375818413969256,0.08145277889612257,0.06101916912626937,0.4,0.6,-0.05181431581266153,-0.05181431581266149,1.8564492827091867,0.07522789043241662
mvo_g20.0_s0.0_p0.0,20.0,0.0,0.0,train,6,0.3612621490315633,0.08602906249629738,0.2752330865352659,0.48307476791098125,-0.12181261887941797,0.8333333333333334,0.16666666666666666,0.08937891506122636,0.0,1.6161558360727966,20.0,0.0,0.0,holdout,5,0.14348681049580048,0.10871376388269938,0.0347730466131011,0.08145277889612257,0.06203403159967791,0.4,0.6,-0.0734537314766239,-0.07345373147662393,1.8165954555033779,0.0726126758522081
mvo_g20.0_s0.0_p0.1,20.0,0.0,0.1,train,6,0.35770589315749657,0.08602906249629738,0.2716768306611992,0.48307476791098125,-0.12536887475348468,0.8333333333333334,0.16666666666666666,0.07565147836626324,0.0,1.6203190309525297,20.0,0.0,0.1,holdout,5,0.144481225014518,0.10871376388269938,0.03576746113181861,0.08145277889612257,0.06302844611839542,0.4,0.6,-0.07037706013945855,-0.07037706013945855,1.8230043147927326,0.06529200436008802
mvo_g20.0_s0.0_p0.25,20.0,0.0,0.25,train,6,0.35075625141401856,0.08602906249629738,0.2647271889177212,0.48307476791098125,-0.1323185164969627,0.8333333333333334,0.16666666666666666,0.051010709233149154,0.0,1.6261008286640213,20.0,0.0,0.25,holdout,5,0.1460107523081704,0.10871376388269938,0.03729698842547102,0.08145277889612257,0.06455797341204783,0.4,0.6,-0.06564689968500916,-0.06564689968500914,1.831694363039274,0.05110363098755742
