date,decision_year,strategy,mvo,cdi,equity_sleeve,IBOVESPA,BOVA11,strategy_daily_return,cdi_daily_return,market_drawdown,market_volatility,stress_at_close,tradable_stress,risk_state,risk_multiplier,base_equity_weight,protected_equity_weight,overlay_turnover,overlay_cost_rate,protected_return,base_rebased,protected_rebased,cdi_rebased
2024-06-27,2024,317.750627,429.183093,227.984728,368.873319,262.01777,258.461659,0.0049683227019121645,0.0003927023782896999,-0.06418537221927534,0.12470530082596053,0,0,1,0.85,0.75,0.6375,0.0,0.0,0.004281979653368795,3.177506291050091,3.045954851555947,2.279847264068661
2024-06-28,2024,315.534381,418.110536,228.074257,365.259079,261.172537,257.563022,-0.006974796622509882,0.00039269735646496606,-0.06720418046759757,0.12381237513647242,0,0,1,0.85,0.75,0.6375,0.0,0.0,-0.005869672525663655,3.155343830903271,3.028076094049357,2.2807425540624044
2024-07-01,2024,315.838712,413.301936,228.163822,365.692063,262.881972,259.06074,0.0009644939452730927,0.00039270104911492965,-0.061098814872583174,0.125366731481776,0,0,1,0.85,0.75,0.6375,0.0,0.0,0.0008787250108493682,3.158387140923432,3.0307369402479534,2.281638204056146
2024-07-02,2024,314.555431,412.765377,228.253422,363.575824,263.027411,259.595635,-0.00406308964431179,0.0003927002940895541,-0.06057936940272146,0.12488979967405811,0,0,0,1.0,0.75,0.75,0.11250000000000004,0.00011250000000000005,-0.00417558964431179,3.145554330838418,3.018081826465621,2.2825342040498846
2024-07-03,2024,321.139898,420.196277,228.343057,374.092664,264.871746,261.328693,0.020932612668830508,0.0003926994794407612,-0.053992199106874916,0.12531093732000995,0,0,0,1.0,0.75,0.75,0.0,0.0,0.020932612668830508,3.211399001274621,3.0812581643418624,2.283430554043621
2024-07-04,2024,325.834013,431.979494,228.432727,381.574179,265.929867,262.3557,0.01461704082623827,0.00039269860523938327,-0.047293979835359545,0.11938008518322488,0,0,0,1.0,0.75,0.75,0.0,0.0,0.01461704082623827,3.258340151585593,3.1262970407262274,2.284327254037355
2024-07-05,2024,324.150275,429.713028,228.522433,378.814869,266.146971,262.526854,-0.005167471573939153,0.0003927020492120459,-0.04651619473684765,0.09698037098627471,0,0,0,1.0,0.75,0.75,0.0,0.0,-0.005167471573939153,3.2415027714740496,3.1101419896365847,2.2852243140310864
2024-07-08,2024,320.22491,428.386436,228.612174,372.456196,266.739266,263.040366,-0.0121097074497315,0.00039270105267963373,-0.04439427056721912,0.09659852984362823,0,0,0,1.0,0.75,0.75,0.0,0.0,-0.0121097074497315,3.202249121214005,3.07247908001496,2.2861217240248153
2024-07-09,2024,321.054335,428.166713,228.70195,373.732181,267.91964,264.324112,0.0025901326664434787,0.0003926999968077993,-0.03478650745440537,0.09521582065054356,0,0,0,1.0,0.75,0.75,0.0,0.0,0.0025901326664434787,3.2105433712689515,3.080437208447071,2.287019484018542
2024-07-10,2024,322.535918,428.576232,228.791761,376.055304,268.1515,264.238527,0.004614742236699554,0.00039269888166670874,-0.03395120325505063,0.0739512314464971,0,0,0,1.0,0.75,0.75,0.0,0.0,0.004614742236699554,3.225359201367102,3.0946526321403924,2.2879175940122662
2024-07-11,2024,325.338785,439.971282,228.881607,380.499966,270.419504,266.52788,0.008690092617839928,0.0003926977073269722,-0.025780439581482684,0.07279455491528243,0,0,0,1.0,0.75,0.75,0.0,0.0,0.008690092617839928,3.2533878715527846,3.1215454501337345,2.288816054005988
2024-07-12,2024,324.14375,435.739632,228.971489,378.525248,271.690514,267.875812,-0.0036732017671977646,0.0003927008429296386,-0.021201469554647856,0.07215505844113965,0,0,0,1.0,0.75,0.75,0.0,0.0,-0.0036732017671977646,3.241437521473617,3.1100793838699152,2.289714873999707
2024-07-15,2024,327.361739,440.923235,229.061406,383.63642,272.584226,268.988404,0.00992766018163227,0.0003926995469729633,-0.017981762030220394,0.0655516780767689,0,0,0,1.0,0.75,0.75,0.0,0.0,0.00992766018163227,3.2736174116867995,3.140955195130876,2.2906140439934237
2024-07-16,2024,330.722319,441.043497,229.151359,388.976526,272.139478,268.239554,0.010265646835411202,0.00039270255767132056,-0.019584021462872192,0.06865380236509341,0,0,0,1.0,0.75,0.75,0.0,0.0,0.010265646835411202,3.307223211909429,3.1731991318899393,2.291513573987138
2024-07-17,2024,332.644375,449.051412,229.241346,392.006799,272.856134,269.202359,0.0058116912272860866,0.0003926967764567024,-0.017002179979680676,0.06855634839215724,0,0,0,1.0,0.75,0.75,0.0,0.0,0.0058116912272860866,3.32644377203676,3.1916407854471758,2.2924134439808497
2024-07-18,2024,327.909167,433.61902,229.33137,384.347601,269.06629,265.351103,-0.014235046060826928,0.0003927040281817007,-0.030655559640249685,0.0926416865612249,0,0,0,1.0,0.75,0.75,0.0,0.0,-0.014235046060826928,3.279091691723066,3.1462076318567216,2.2933136839745587
2024-07-19,2024,326.52537,433.370921,229.421428,382.069679,268.990408,265.308319,-0.004220061953925214,0.00039269812934872306,-0.03092893388874196,0.09170785593124818,0,0,0,1.0,0.75,0.75,0.0,0.0,-0.004220061953925214,3.2652537216313933,3.132930440730374,2.294214263968265
2024-07-22,2024,332.284823,436.722207,229.511522,391.261525,269.504714,265.864615,0.01763860798932715,0.0003927008945303623,-0.029076083196283853,0.08651960327726337,0,0,0,1.0,0.75,0.75,0.0,0.0,0.01763860798932715,3.3228482520129408,3.188190972632247,2.29511520396197
2024-07-23,2024,326.985298,425.552423,229.601651,382.696148,266.827794,263.06175,-0.015948742263199978,0.00039269923886431357,-0.03872001711044237,0.09533915795717543,0,0,0,1.0,0.75,0.75,0.0,0.0,-0.015948742263199978,3.2698530016618617,3.137343336523874,2.2960164939556718
2024-07-24,2024,327.447855,422.568381,229.691816,383.382819,266.47579,262.869195,0.00141461100186846,0.00039270188000517514,-0.039988154863352166,0.09588757378527434,0,0,0,1.0,0.75,0.75,0.0,0.0,0.00141461100186846,3.274478571692505,3.1417814569243596,2.296918143949371
2024-07-25,2024,326.836405,416.572493,229.782015,382.344953,265.487226,261.906389,-0.001867320218054247,0.00039269575020473013,-0.04354957839708351,0.08621749248638451,0,0,0,1.0,0.75,0.75,0.0,0.0,-0.001867320218054247,3.268364071651998,3.1359147448891367,2.297820133943068
2024-07-26,2024,328.520279,421.665247,229.872251,384.992628,268.72904,265.265534,0.005152039290115207,0.00039270262296198233,-0.03187054429147196,0.09402039123627406,0,0,0,1.0,0.75,0.75,0.0,0.0,0.005152039290115207,3.28520281176355,3.1520711008652573,2.2987224939367623
2024-07-29,2024,328.199368,416.616105,229.962522,384.421232,267.595037,264.152942,-0.0009768377190499944,0.0003927007266308902,-0.03595592973087902,0.09403864564694464,0,0,0,1.0,0.75,0.75,0.0,0.0,-0.0009768377190499944,3.2819937017422904,3.1489920389208046,2.299625203930454
2024-07-30,2024,331.490144,418.544235,230.052828,389.649035,265.877171,262.548254,0.010026759100888905,0.0003926987720199726,-0.042144753519927636,0.09757593379393883,0,0,0,1.0,0.75,0.75,0.0,0.0,0.010026759100888905,3.3149014619602952,3.1805662235056804,2.300528263924144
2024-07-31,2024,337.422474,419.899265,230.14317,399.118312,269.06629,265.393904,0.017895946855059464,0.00039270110602585007,-0.030655559640249685,0.10337834187365981,0,0,0,1.0,0.75,0.75,0.0,0.0,0.017895946855059464,3.3742247623532955,3.237485467610535,2.3014316839178304
2024-08-01,2024,334.542963,418.442976,230.233547,394.438552,268.524582,264.752022,-0.008533844725470252,0.0003926990316505119,-0.032607129411767244,0.10311985746946227,0,0,0,1.0,0.75,0.75,0.0,0.0,-0.008533844725470252,3.3454296521625357,3.2098572693289804,2.302335453911515
2024-08-02,2024,334.393107,436.669768,230.32396,394.141729,265.276445,261.842188,-0.0004479424665106979,0.0003927012426212517,-0.04430894290344167,0.1123750186155912,0,0,0,1.0,0.75,0.75,0.0,0.0,-0.0004479424665106979,3.343931092152608,3.2084194379466098,2.3032395839051967
