date,decision_year,strategy,mvo,cdi,equity_sleeve,IBOVESPA,BOVA11
2015-04-01,2015,106.152509,107.327938,102.813547,107.349354,107.853727,107.49048
2015-04-02,2015,106.976433,110.333039,102.861976,108.431777,109.504865,108.97165
2015-04-06,2015,108.398437,111.06994,102.910427,110.311632,110.770531,110.241219
2015-04-07,2015,107.867221,111.062172,102.958901,109.587186,110.75404,110.45282
2015-04-08,2015,107.463979,111.76204,103.007397,109.033365,110.613869,110.49514
2015-04-09,2015,107.168757,111.260187,103.055917,108.623562,110.90658,110.600936
2015-04-10,2015,107.977582,111.337316,103.104459,109.685815,111.753793,111.405001
2015-04-13,2015,105.712635,111.578154,103.153025,106.649697,111.807388,111.320361
2015-04-14,2015,104.553288,114.268204,103.201613,105.087704,111.275561,111.151081
2015-04-15,2015,105.495513,113.314415,103.250224,106.327801,113.207042,112.67457
2015-04-16,2015,105.702838,113.153445,103.298858,106.588023,112.702012,112.209058
2015-04-17,2015,105.110957,112.224652,103.347515,105.782629,111.219904,110.981808
2015-04-20,2015,104.525148,112.61975,103.396195,104.985325,110.820003,110.53746
2015-04-22,2015,105.256997,112.459983,103.444897,105.944888,112.584515,112.209058
2015-04-23,2015,106.794008,112.77135,103.493623,107.977995,114.786032,114.346176
2015-04-24,2015,108.085826,113.566529,103.542372,109.684169,116.659796,116.33517
2015-04-27,2015,107.127988,113.107248,103.591179,108.390783,114.47683,114.176896
2015-04-28,2015,107.694539,111.708523,103.640046,109.129894,115.047823,114.684728
2015-04-29,2015,108.02027,113.921591,103.688937,109.547906,114.043948,113.584431
2015-04-30,2015,107.624898,117.213775,103.739637,109.003843,115.907404,115.573425
2015-05-04,2015,108.682298,118.323875,103.790363,110.396801,118.226418,118.133736
2015-05-05,2015,109.717659,118.55936,103.841186,111.760341,119.665237,119.382142
2015-05-06,2015,109.963301,119.65148,103.892034,112.070915,117.70902,117.287351
2015-05-07,2015,109.94685,120.496289,103.942907,112.032023,117.333856,117.054595
2015-05-08,2015,107.313564,122.491431,103.993804,108.504008,117.803842,117.435468
2015-05-11,2015,107.240871,123.491778,104.044727,108.39011,117.902787,117.477788
2015-05-12,2015,106.424843,121.345392,104.095675,107.285091,117.067942,116.758363
2015-05-13,2015,104.90341,121.546926,104.146647,105.239522,116.202177,115.890822
2015-05-14,2015,105.72095,122.655581,104.197645,106.312577,116.78966,116.525607
2015-05-15,2015,106.774896,125.330885,104.248667,107.70083,118.009977,117.625904
2015-05-18,2015,105.559342,125.440741,104.299714,106.063076,115.855871,115.298357
2015-05-19,2015,105.256269,123.706808,104.350787,105.641955,114.402622,114.11342
2015-05-20,2015,104.311933,124.062237,104.401884,104.365807,113.169937,112.865006
2015-05-21,2015,103.643313,125.398089,104.453007,103.457274,113.604881,113.309355
